ProjectUnit = FPIPO1T09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,POST01YR01-Attr,POST01YR01-Diff,POST01YR01-%Diff
FPIPO1T0904,0.00,3.52,3.52,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
FPIPO1T0906,0.00,***,***,***,4.28,4.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
FPIPO1T0910,2.51,***,***,***,11.98,9.47,376.53,3.84,1.33,52.89,9.01,6.50,258.47,6.14,3.62,144.00,1.72,-0.80,-31.72,0.63,-1.89,-75.00,0.59,-1.93,-76.72,0.00,-2.51,-100.00,0.00,-2.51,-100.00,***,***,***
FPIPO1T0911,4.07,***,***,***,***,***,***,***,***,***,5.06,0.99,24.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0912,9.34,53.25,43.91,470.15,122.70,113.36,1213.79,***,***,***,0.00,-9.34,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0907,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0908,***,***,***,***,0.00,***,***,0.61,***,***,0.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,3.18,28.39,-25.20,-791.43,27.79,-24.61,-772.79,1.49,1.70,53.36,2.89,0.29,9.22,6.14,-2.95,-92.66,1.72,1.47,46.09,0.63,2.56,80.26,0.59,2.60,81.62,0.00,3.18,100.00,0.00,3.18,100.00,0.00,3.18,100.00
