ProjectUnit = FPIPO1T09
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,POST01YR01-Attr,POST01YR01-Diff,POST01YR01-%Diff
FPIPO1T0904,24.57,39.30,14.72,59.93,49.23,24.65,100.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,11.92,-12.65,-51.50
FPIPO1T0906,57.13,***,***,***,55.02,-2.11,-3.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.96,-46.17,-80.81
FPIPO1T0910,44.72,***,***,***,85.34,40.62,90.84,11.66,-33.06,-73.93,21.67,-23.05,-51.54,24.85,-19.87,-44.42,5.04,-39.68,-88.74,8.13,-36.59,-81.82,17.85,-26.87,-60.08,45.17,0.45,1.00,42.48,-2.24,-5.00,***,***,***
FPIPO1T0911,112.06,***,***,***,***,***,***,***,***,***,12.13,-99.93,-89.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0912,28.86,100.85,71.99,249.44,378.38,349.52,1211.03,***,***,***,44.70,15.84,54.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0907,***,***,***,***,***,***,***,8.12,***,***,0.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0908,***,***,***,***,26.57,***,***,4.10,***,***,5.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,53.47,70.07,-16.60,-31.06,118.91,-65.44,-122.39,7.96,45.51,85.11,17.00,36.47,68.20,24.85,28.62,53.52,5.04,48.43,90.58,8.13,45.34,84.80,17.85,35.62,66.62,45.17,8.30,15.53,42.48,10.98,20.54,11.44,42.03,78.61
