ProjectUnit = FPIPO1T09
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,POST01YR01-Attr,POST01YR01-Diff,POST01YR01-%Diff
FPIPO1T0904,12.15,19.67,7.51,61.81,14.42,2.27,18.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.89,-9.26,-76.18
FPIPO1T0906,34.76,***,***,***,32.07,-2.70,-7.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.62,-33.14,-95.33
FPIPO1T0910,30.00,***,***,***,48.47,18.47,61.56,1.77,-28.23,-94.09,2.10,-27.90,-93.01,4.44,-25.56,-85.19,0.32,-29.67,-98.92,1.07,-28.92,-96.42,3.89,-26.10,-87.02,3.27,-26.73,-89.10,2.12,-27.88,-92.93,***,***,***
FPIPO1T0911,14.80,***,***,***,***,***,***,***,***,***,1.47,-13.33,-90.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0912,9.48,16.60,7.11,75.00,10.56,1.07,11.32,***,***,***,0.20,-9.28,-97.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0907,***,***,***,***,***,***,***,6.69,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0908,***,***,***,***,3.67,***,***,1.40,***,***,2.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,20.24,18.13,2.11,10.42,21.84,-1.60,-7.89,3.29,16.95,83.76,1.31,18.93,93.51,4.44,15.80,78.05,0.32,19.92,98.40,1.07,19.17,94.70,3.89,16.35,80.76,3.27,16.97,83.85,2.12,18.12,89.52,2.26,17.98,88.84
