ProjectUnit = FPIPO1T09
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,POST01YR01-Attr,POST01YR01-Diff,POST01YR01-%Diff
FPIPO1T0904,1.94,1.70,-0.25,-12.74,1.13,-0.82,-41.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.49,-1.45,-74.65
FPIPO1T0906,2.06,***,***,***,1.49,-0.57,-27.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.50,-1.56,-75.85
FPIPO1T0910,1.83,***,***,***,2.51,0.69,37.53,0.07,-1.76,-96.16,0.93,-0.90,-49.04,1.25,-0.58,-31.64,0.18,-1.65,-90.27,0.75,-1.07,-58.77,1.03,-0.80,-43.56,0.81,-1.01,-55.48,0.33,-1.50,-82.19,***,***,***
FPIPO1T0911,4.64,***,***,***,***,***,***,***,***,***,0.20,-4.44,-95.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0912,1.66,1.03,-0.64,-38.35,1.30,-0.37,-22.11,***,***,***,0.62,-1.04,-62.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0907,***,***,***,***,***,***,***,0.29,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0908,***,***,***,***,1.40,***,***,0.36,***,***,0.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.43,1.36,1.07,43.94,1.56,0.86,35.53,0.24,2.19,90.18,0.41,2.02,83.06,1.25,1.18,48.58,0.18,2.25,92.68,0.75,1.67,68.98,1.03,1.40,57.54,0.81,1.61,66.51,0.33,2.10,86.60,0.50,1.93,79.60
