ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
MG2 Plot 17,26.63,32.39,5.76,21.63,0.00,-26.63,-100.00,0.37,-26.26,-98.61,0.80,-25.83,-96.98,1.75,-24.88,-93.41,9.06,-17.57,-65.97,***,***,***,***,***,***,1.45,-25.18,-94.55,3.64,-22.99,-86.32,1.41,-25.22,-94.71,***,***,***,***,***,***,***,***,***,83.02,56.39,211.74
MG2 Plot 18,174.18,153.09,-21.09,-12.11,90.13,-84.05,-48.25,61.50,-112.68,-64.69,7.58,-166.60,-95.65,63.24,-110.93,-63.69,63.64,-110.53,-63.46,***,***,***,***,***,***,0.02,-174.16,-99.99,3.54,-170.63,-97.97,71.10,-103.08,-59.18,***,***,***,***,***,***,***,***,***,5.89,-168.29,-96.62
MG2 Plot 19,24.92,29.73,4.81,19.31,0.00,-24.92,-100.00,0.06,-24.85,-99.74,0.50,-24.42,-98.01,3.41,-21.51,-86.31,5.34,-19.57,-78.56,***,***,***,***,***,***,27.90,2.99,11.99,23.60,-1.32,-5.29,18.89,-6.03,-24.18,***,***,***,***,***,***,***,***,***,22.37,-2.55,-10.23
MG2 Plot 2,53.26,115.81,62.55,117.46,48.29,-4.97,-9.33,26.25,-27.00,-50.70,54.34,1.08,2.03,130.49,77.24,145.02,145.31,92.06,172.85,***,***,***,***,***,***,25.56,-27.70,-52.01,35.28,-17.98,-33.76,26.89,-26.36,-49.50,***,***,***,***,***,***,***,***,***,71.85,18.59,34.91
MG2 Plot 20,161.36,0.00,-161.36,-100.00,102.42,-58.94,-36.53,44.23,-117.13,-72.59,43.67,-117.69,-72.94,43.09,-118.27,-73.30,45.93,-115.43,-71.53,***,***,***,***,***,***,10.52,-150.84,-93.48,10.50,-150.86,-93.50,18.77,-142.59,-88.37,***,***,***,***,***,***,***,***,***,11.22,-150.14,-93.05
MG2 Plot 3,39.91,64.86,24.96,62.53,0.00,-39.91,-100.00,0.56,-39.35,-98.59,0.56,-39.35,-98.60,1.45,-38.46,-96.36,3.99,-35.92,-90.00,***,***,***,***,***,***,0.00,-39.91,-100.00,3.91,-36.00,-90.21,5.81,-34.10,-85.44,***,***,***,***,***,***,***,***,***,49.25,9.35,23.42
MG2 Plot 4,93.20,55.36,-37.85,-40.61,0.00,-93.20,-100.00,0.80,-92.40,-99.14,6.41,-86.80,-93.13,4.56,-88.64,-95.10,5.67,-87.54,-93.92,***,***,***,***,***,***,40.71,-52.50,-56.33,33.98,-59.22,-63.54,42.23,-50.97,-54.69,***,***,***,***,***,***,***,***,***,7.49,-85.72,-91.97
MG2 Plot 5,257.76,251.71,-6.06,-2.35,112.66,-145.10,-56.29,105.02,-152.74,-59.26,146.35,-111.42,-43.22,154.28,-103.49,-40.15,169.60,-88.17,-34.20,***,***,***,***,***,***,248.90,-8.86,-3.44,129.88,-127.89,-49.61,155.03,-102.73,-39.86,***,***,***,***,***,***,***,***,***,13.91,-243.86,-94.60
MG2 Plot 6,111.68,53.25,-58.44,-52.32,55.73,-55.96,-50.10,99.62,-12.07,-10.80,50.21,-61.48,-55.04,60.48,-51.20,-45.84,56.86,-54.82,-49.08,***,***,***,***,***,***,59.23,-52.45,-46.96,43.57,-68.11,-60.99,35.31,-76.38,-68.39,***,***,***,***,***,***,***,***,***,5.18,-106.51,-95.36
MG2 Plot 7,14.30,0.00,-14.30,-100.00,0.00,-14.30,-100.00,0.22,-14.08,-98.44,0.02,-14.29,-99.89,0.30,-14.00,-97.87,4.81,-9.49,-66.35,***,***,***,***,***,***,0.00,-14.30,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 8,160.51,130.25,-30.26,-18.85,105.60,-54.91,-34.21,134.88,-25.63,-15.97,135.41,-25.09,-15.63,140.31,-20.20,-12.59,150.30,-10.21,-6.36,***,***,***,***,***,***,6.31,-154.20,-96.07,2.91,-157.60,-98.19,17.02,-143.49,-89.40,***,***,***,***,***,***,***,***,***,16.11,-144.40,-89.96
MG2 Plot 9,56.58,86.55,29.97,52.98,17.90,-38.68,-68.37,12.40,-44.18,-78.09,20.20,-36.37,-64.29,20.45,-36.13,-63.86,17.46,-39.12,-69.14,***,***,***,***,***,***,13.19,-43.39,-76.69,11.65,-44.93,-79.41,11.31,-45.27,-80.01,***,***,***,***,***,***,***,***,***,14.41,-42.17,-74.53
MG4 Plot 1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,57.18,***,***,0.00,***,***,0.30,***,***,0.50,***,***,1.34,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.57,***,***,3.88,***,***,3.62,***,***,20.74,***,***,3.17,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,23.76,***,***,5.32,***,***,4.94,***,***,8.75,***,***,9.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.62,***,***,4.51,***,***,8.00,***,***,26.83,***,***,41.58,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,48.38,***,***,5.69,***,***,16.20,***,***,25.74,***,***,68.36,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,95.63,***,***,17.16,***,***,20.94,***,***,21.65,***,***,40.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.60,***,***,5.74,***,***,2.77,***,***,5.64,***,***,5.50,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,29.19,***,***,1.43,***,***,2.68,***,***,6.22,***,***,9.97,***,***,***,***,***,***,***,***,***,***,***
ASPEN VALLEY,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,40.57,***,***,***,***,***,32.20,***,***,***,***,***
Mean,63.99,64.16,-0.17,-0.27,25.09,38.90,60.78,24.78,39.21,61.28,21.46,42.53,66.47,36.45,27.54,43.04,40.79,23.20,36.25,22.16,41.83,65.36,56.85,7.13,11.15,28.21,35.78,55.91,28.74,35.25,55.09,41.27,22.72,35.51,38.25,25.74,40.23,4.64,59.35,92.75,32.20,31.79,49.67,34.72,29.27,45.74
