ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 4,161.04,161.04,0.00,0.00,149.13,-11.90,-7.39,146.96,-14.07,-8.74,146.96,-14.07,-8.74,***,***,***,***,***,***,113.16,-47.88,-29.73,2.61,-158.43,-98.38,0.00,-161.04,-100.00,1.30,-159.73,-99.19,2.28,-158.76,-98.58,0.00,-161.04,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,6.09,6.09,***,119.70,119.70,***,15.39,15.39,***,1.55,1.55,***,1.21,1.21,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 6,2.15,2.15,0.00,0.00,0.00,-2.15,-100.00,1.65,-0.50,-23.44,1.65,-0.50,-23.44,***,***,***,***,***,***,0.00,-2.15,-100.00,7.09,4.94,229.69,1.84,-0.31,-14.44,0.00,-2.15,-100.00,0.00,-2.15,-100.00,0.00,-2.15,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 7,30.44,9.26,-21.18,-69.59,5.71,-24.73,-81.24,0.00,-30.44,-100.00,19.46,-10.98,-36.07,***,***,***,***,***,***,39.77,9.32,30.63,18.38,-12.06,-39.62,4.09,-26.35,-86.57,2.62,-27.82,-91.41,3.41,-27.04,-88.81,3.98,-26.46,-86.91,***,***,***,***,***,***,***,***,***
BCREEK 8,0.00,12.27,12.27,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.64,1.64,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 9,2.17,4.35,2.17,100.00,4.62,2.45,112.50,5.06,2.89,132.81,5.06,2.89,132.81,***,***,***,***,***,***,19.13,16.95,779.69,57.35,55.18,2537.50,5.42,3.24,149.13,5.78,3.60,165.63,4.24,2.07,95.18,4.76,2.59,119.05,***,***,***,***,***,***,***,***,***
MG2 Plot 1,***,3.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,6.46,***,***
MG2 Plot 10,3.78,***,***,***,23.34,19.56,516.81,5.66,1.88,49.56,6.46,2.68,70.80,4.82,1.04,27.43,23.57,19.78,522.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 11,0.00,18.20,18.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,11.90,11.90,***,14.54,14.54,***,11.16,11.16,***,***,***,***,***,***,***,***,***,***,11.36,11.36,***
MG2 Plot 12,6.18,75.22,69.04,1117.84,5.64,-0.53,-8.65,1.64,-4.54,-73.51,0.00,-6.18,-100.00,0.00,-6.18,-100.00,0.00,-6.18,-100.00,***,***,***,***,***,***,38.59,32.42,524.86,30.26,24.08,389.90,38.14,31.96,517.48,***,***,***,***,***,***,***,***,***,4.04,-2.14,-34.58
MG2 Plot 13,***,1.29,***,***,1.65,***,***,0.00,***,***,1.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,13.45,***,***
MG2 Plot 14,0.00,93.30,93.30,***,158.31,158.31,***,158.31,158.31,***,29.93,29.93,***,29.93,29.93,***,29.93,29.93,***,***,***,***,***,***,***,76.61,76.61,***,92.03,92.03,***,84.48,84.48,***,***,***,***,***,***,***,***,***,***,99.11,99.11,***
MG2 Plot 15,***,0.00,***,***,2.19,***,***,***,***,***,4.14,***,***,4.14,***,***,4.14,***,***,***,***,***,***,***,***,***,***,***,8.97,***,***,9.20,***,***,***,***,***,***,***,***,***,***,***,9.88,***,***
MG2 Plot 16,1.20,0.00,-1.20,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.68,8.48,707.22,15.06,13.87,1156.22,10.79,9.60,800.17,***,***,***,***,***,***,***,***,***,21.32,20.12,1678.11
MG2 Plot 17,2.14,0.00,-2.14,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-2.14,-100.00,2.36,0.22,10.25,0.00,-2.14,-100.00,***,***,***,***,***,***,***,***,***,77.17,75.03,3500.67
MG2 Plot 18,96.43,0.00,-96.43,-100.00,89.81,-6.62,-6.86,60.68,-35.74,-37.07,6.15,-90.28,-93.62,59.35,-37.07,-38.45,59.35,-37.07,-38.45,***,***,***,***,***,***,***,***,***,***,***,***,68.68,-27.75,-28.78,***,***,***,***,***,***,***,***,***,0.00,-96.43,-100.00
MG2 Plot 19,***,0.00,***,***,***,***,***,***,***,***,***,***,***,2.13,***,***,2.13,***,***,***,***,***,***,***,***,7.66,***,***,5.11,***,***,5.87,***,***,***,***,***,***,***,***,***,***,***,6.91,***,***
MG2 Plot 2,***,7.65,***,***,***,***,***,0.00,***,***,4.03,***,***,92.11,***,***,93.31,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,5.39,***,***
MG2 Plot 20,61.79,***,***,***,102.42,40.63,65.77,42.67,-19.11,-30.94,42.67,-19.11,-30.94,42.67,-19.11,-30.94,42.67,-19.11,-30.94,***,***,***,***,***,***,5.48,-56.31,-91.14,9.38,-52.41,-84.82,8.43,-53.36,-86.36,***,***,***,***,***,***,***,***,***,5.65,-56.14,-90.86
MG2 Plot 3,***,18.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,1.54,***,***,***,***,***,***,***,***,***,***,***,46.57,***,***
MG2 Plot 4,6.67,21.20,14.54,218.06,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-6.67,-100.00,***,***,***,***,***,***,11.33,4.67,70.00,5.29,-1.37,-20.62,14.45,7.78,116.68,***,***,***,***,***,***,***,***,***,0.00,-6.67,-100.00
MG2 Plot 5,176.46,155.70,-20.76,-11.76,112.66,-63.80,-36.15,105.02,-71.43,-40.48,145.88,-30.58,-17.33,148.59,-27.86,-15.79,165.14,-11.32,-6.41,***,***,***,***,***,***,204.06,27.60,15.64,0.00,-176.46,-100.00,113.71,-62.75,-35.56,***,***,***,***,***,***,***,***,***,0.00,-176.46,-100.00
MG2 Plot 6,90.56,22.27,-68.29,-75.41,55.73,-34.83,-38.46,97.66,7.10,7.84,49.56,-40.99,-45.27,54.39,-36.17,-39.94,54.39,-36.17,-39.94,***,***,***,***,***,***,6.06,-84.49,-93.31,3.09,-87.47,-96.59,0.00,-90.56,-100.00,***,***,***,***,***,***,***,***,***,0.00,-90.56,-100.00
MG2 Plot 7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 8,105.60,2.61,-102.99,-97.53,105.60,0.00,0.00,133.65,28.05,26.56,133.65,28.05,26.56,138.03,32.43,30.71,146.22,40.62,38.47,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-105.60,-100.00,***,***,***,***,***,***,***,***,***,4.85,-100.75,-95.41
MG2 Plot 9,0.00,24.44,24.44,***,17.90,17.90,***,10.88,10.88,***,18.16,18.16,***,18.16,18.16,***,14.81,14.81,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,4.84,4.84,***
MG4 Plot 1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,17.77,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.50,***,***,***,***,***,***,***,***,14.91,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.00,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,1.19,***,***,5.75,***,***,23.19,***,***,41.26,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.84,***,***,0.00,***,***,13.52,***,***,10.60,***,***,51.83,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.31,***,***,0.00,***,***,0.00,***,***,0.94,***,***,1.24,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,14.01,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
ASPEN VALLEY,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,18.42,***,***,***,***,***,12.87,***,***,***,***,***
Mean,26.80,20.71,6.09,22.73,28.01,-1.21,-4.51,26.70,0.10,0.39,20.19,6.61,24.67,49.53,-22.72,-84.77,48.90,-22.09,-82.42,14.86,11.94,44.55,19.13,7.67,28.62,16.43,10.37,38.69,12.20,14.60,54.47,20.89,5.91,22.06,14.25,12.55,46.82,0.00,26.80,100.00,12.87,13.93,51.97,17.61,9.19,34.29
