ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 1,0.00,0.30,0.30,***,0.61,0.61,***,0.91,0.91,***,0.30,0.30,***,***,***,***,***,***,***,0.91,0.91,***,3.35,3.35,***,0.30,0.30,***,0.00,0.00,0.00,0.61,0.61,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 10,3.13,3.76,0.63,20.00,0.00,-3.13,-100.00,0.31,-2.82,-90.00,0.31,-2.82,-90.00,***,***,***,***,***,***,2.82,-0.31,-10.00,1.57,-1.57,-50.00,0.94,-2.19,-70.00,2.19,-0.94,-30.00,1.22,-1.91,-60.96,6.27,3.13,100.00,***,***,***,***,***,***,***,***,***
BCREEK 11,0.63,4.75,4.12,650.00,1.58,0.95,150.00,1.27,0.63,100.00,0.63,0.00,0.00,***,***,***,***,***,***,3.80,3.17,500.00,0.63,0.00,0.00,0.32,-0.32,-50.00,0.32,-0.32,-50.00,0.94,0.31,48.85,0.32,-0.32,-50.00,***,***,***,***,***,***,***,***,***
BCREEK 12,0.95,0.32,-0.63,-66.67,0.00,-0.95,-100.00,0.63,-0.32,-33.33,0.63,-0.32,-33.33,***,***,***,***,***,***,0.95,0.00,0.00,1.90,0.95,100.00,0.32,-0.63,-66.67,0.63,-0.32,-33.33,0.00,-0.95,-100.00,0.32,-0.63,-66.67,***,***,***,***,***,***,***,***,***
BCREEK 13,0.00,0.31,0.31,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,3.10,3.10,***,0.00,0.00,0.00,0.62,0.62,***,0.00,0.00,0.00,0.62,0.62,***,***,***,***,***,***,***,***,***,***
BCREEK 14,2.76,0.61,-2.14,-77.78,0.31,-2.45,-88.89,0.92,-1.84,-66.67,0.92,-1.84,-66.67,***,***,***,***,***,***,0.92,-1.84,-66.67,2.14,-0.61,-22.22,0.31,-2.45,-88.89,0.00,-2.76,-100.00,1.22,-1.54,-55.79,***,***,***,0.30,-2.45,-88.95,***,***,***,***,***,***
BCREEK 15,0.31,0.00,-0.31,-100.00,0.00,-0.31,-100.00,0.00,-0.31,-100.00,0.00,-0.31,-100.00,***,***,***,***,***,***,1.23,0.92,300.00,0.62,0.31,100.00,1.23,0.92,300.00,0.92,0.62,200.00,0.61,0.31,99.15,0.92,0.61,198.72,***,***,***,***,***,***,***,***,***
BCREEK 16,0.00,0.32,0.32,***,0.32,0.32,***,0.63,0.63,***,1.27,1.27,***,***,***,***,***,***,***,1.27,1.27,***,1.27,1.27,***,0.32,0.32,***,1.58,1.58,***,0.30,0.30,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 17,0.98,1.31,0.33,33.33,1.97,0.98,100.00,1.31,0.33,33.33,0.00,-0.98,-100.00,***,***,***,***,***,***,0.33,-0.66,-66.67,0.33,-0.66,-66.67,1.31,0.33,33.33,1.31,0.33,33.33,1.88,0.89,90.97,3.13,2.14,218.28,***,***,***,***,***,***,***,***,***
BCREEK 18,3.25,11.06,7.81,240.00,0.65,-2.60,-80.00,0.00,-3.25,-100.00,0.65,-2.60,-80.00,***,***,***,***,***,***,0.33,-2.93,-90.00,0.65,-2.60,-80.00,1.95,-1.30,-40.00,3.25,0.00,0.00,0.91,-2.34,-71.91,1.22,-2.03,-62.54,***,***,***,***,***,***,***,***,***
BCREEK 19,5.68,7.89,2.21,38.89,0.00,-5.68,-100.00,0.32,-5.37,-94.44,0.00,-5.68,-100.00,***,***,***,***,***,***,0.32,-5.37,-94.44,0.32,-5.37,-94.44,0.00,-5.68,-100.00,0.00,-5.68,-100.00,0.00,-5.68,-100.00,0.00,-5.68,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 2,0.62,1.54,0.92,150.00,0.00,-0.62,-100.00,0.00,-0.62,-100.00,0.00,-0.62,-100.00,***,***,***,***,***,***,0.31,-0.31,-50.00,1.85,1.23,200.00,0.31,-0.31,-50.00,0.31,-0.31,-50.00,0.62,0.00,0.00,0.62,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 20,0.00,0.62,0.62,***,0.31,0.31,***,0.31,0.31,***,0.62,0.62,***,***,***,***,***,***,***,0.94,0.94,***,0.00,0.00,0.00,0.62,0.62,***,3.74,3.74,***,3.38,3.38,***,1.85,1.85,***,***,***,***,***,***,***,***,***,***
BCREEK 21,0.61,0.61,0.00,0.00,0.00,-0.61,-100.00,0.00,-0.61,-100.00,0.00,-0.61,-100.00,***,***,***,***,***,***,1.83,1.22,200.00,0.31,-0.31,-50.00,1.22,0.61,100.00,0.00,-0.61,-100.00,0.00,-0.61,-100.00,0.31,-0.30,-48.37,***,***,***,***,***,***,***,***,***
BCREEK 3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.61,0.61,***,0.31,0.31,***,1.84,1.84,***,0.31,0.31,***,0.31,0.31,***,***,***,***,***,***,***,***,***,***
BCREEK 4,1.86,1.55,-0.31,-16.67,0.00,-1.86,-100.00,0.00,-1.86,-100.00,0.00,-1.86,-100.00,***,***,***,***,***,***,0.00,-1.86,-100.00,0.00,-1.86,-100.00,0.00,-1.86,-100.00,0.93,-0.93,-50.00,0.62,-1.24,-66.67,3.08,1.22,65.51,***,***,***,***,***,***,***,***,***
BCREEK 5,0.62,0.31,-0.31,-50.00,0.31,-0.31,-50.00,0.92,0.31,50.00,0.92,0.31,50.00,***,***,***,***,***,***,2.15,1.54,250.00,0.31,-0.31,-50.00,2.15,1.54,250.00,0.00,-0.62,-100.00,0.00,-0.62,-100.00,0.00,-0.62,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 6,0.62,2.77,2.15,350.00,0.62,0.00,0.00,0.31,-0.31,-50.00,1.23,0.62,100.00,***,***,***,***,***,***,1.23,0.62,100.00,0.92,0.31,50.00,2.15,1.54,250.00,1.85,1.23,200.00,1.52,0.91,147.28,1.82,1.21,196.74,***,***,***,***,***,***,***,***,***
BCREEK 7,1.85,3.09,1.24,66.67,0.00,-1.85,-100.00,0.31,-1.54,-83.33,0.00,-1.85,-100.00,***,***,***,***,***,***,1.24,-0.62,-33.33,1.24,-0.62,-33.33,0.93,-0.93,-50.00,0.93,-0.93,-50.00,0.31,-1.54,-83.20,0.31,-1.54,-83.20,***,***,***,***,***,***,***,***,***
BCREEK 8,0.93,0.62,-0.31,-33.33,0.62,-0.31,-33.33,0.31,-0.62,-66.67,0.62,-0.31,-33.33,***,***,***,***,***,***,1.55,0.62,66.67,1.55,0.62,66.67,0.31,-0.62,-66.67,0.00,-0.93,-100.00,0.31,-0.63,-67.25,1.53,0.59,63.77,***,***,***,***,***,***,***,***,***
BCREEK 9,4.97,4.97,0.00,0.00,0.31,-4.66,-93.75,0.00,-4.97,-100.00,1.24,-3.73,-75.00,***,***,***,***,***,***,4.97,0.00,0.00,1.24,-3.73,-75.00,0.00,-4.97,-100.00,0.62,-4.35,-87.50,0.31,-4.66,-93.79,0.00,-4.97,-100.00,***,***,***,***,***,***,***,***,***
MG2 Plot 1,0.92,3.68,2.76,300.00,0.61,-0.31,-33.33,0.92,0.00,0.00,0.31,-0.61,-66.67,0.61,-0.31,-33.33,0.61,-0.31,-33.33,***,***,***,***,***,***,0.00,-0.92,-100.00,0.00,-0.92,-100.00,0.00,-0.92,-100.00,***,***,***,***,***,***,***,***,***,3.37,2.45,266.67
MG2 Plot 10,4.29,0.00,-4.29,-100.00,0.00,-4.29,-100.00,0.00,-4.29,-100.00,0.31,-3.98,-92.86,1.23,-3.06,-71.43,4.90,0.61,14.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 11,5.20,3.67,-1.53,-29.41,0.00,-5.20,-100.00,0.31,-4.89,-94.12,0.61,-4.58,-88.24,1.83,-3.36,-64.71,3.97,-1.22,-23.53,***,***,***,***,***,***,1.83,-3.36,-64.71,1.83,-3.36,-64.71,2.75,-2.44,-47.06,***,***,***,***,***,***,***,***,***,1.53,-3.67,-70.59
MG2 Plot 12,1.22,3.97,2.75,225.00,0.00,-1.22,-100.00,0.31,-0.92,-75.00,0.31,-0.92,-75.00,0.61,-0.61,-50.00,0.61,-0.61,-50.00,***,***,***,***,***,***,0.00,-1.22,-100.00,0.00,-1.22,-100.00,0.61,-0.61,-50.00,***,***,***,***,***,***,***,***,***,1.22,0.00,0.00
MG2 Plot 13,0.62,0.62,0.00,0.00,1.54,0.92,150.00,1.23,0.62,100.00,0.62,0.00,0.00,1.85,1.23,200.00,3.38,2.77,450.00,***,***,***,***,***,***,0.92,0.31,50.00,1.23,0.62,100.00,0.62,0.00,0.00,***,***,***,***,***,***,***,***,***,3.08,2.46,400.00
MG2 Plot 14,0.30,6.69,6.39,2100.00,0.00,-0.30,-100.00,0.00,-0.30,-100.00,0.30,0.00,0.00,0.00,-0.30,-100.00,0.00,-0.30,-100.00,***,***,***,***,***,***,6.08,5.78,1900.00,7.91,7.60,2500.00,3.95,3.65,1200.00,***,***,***,***,***,***,***,***,***,2.43,2.13,700.00
