ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,5.87,5.87,***,2.94,2.94,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 6,1.47,0.00,-1.47,-100.00,1.47,0.00,0.00,2.94,1.47,100.00,2.94,1.47,100.00,***,***,***,***,***,***,2.94,1.47,100.00,1.47,0.00,0.00,0.00,-1.47,-100.00,1.47,0.00,0.00,2.90,1.44,97.83,1.45,-0.02,-1.09,***,***,***,***,***,***,***,***,***
BCREEK 7,4.43,8.85,4.43,100.00,0.00,-4.43,-100.00,0.00,-4.43,-100.00,0.00,-4.43,-100.00,***,***,***,***,***,***,1.48,-2.95,-66.67,7.38,2.95,66.67,0.00,-4.43,-100.00,1.48,-2.95,-66.67,0.00,-4.43,-100.00,0.00,-4.43,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 8,2.97,1.48,-1.48,-50.00,1.48,-1.48,-50.00,0.00,-2.97,-100.00,0.00,-2.97,-100.00,***,***,***,***,***,***,0.00,-2.97,-100.00,0.00,-2.97,-100.00,0.00,-2.97,-100.00,1.48,-1.48,-50.00,1.46,-1.51,-50.87,1.46,-1.51,-50.87,***,***,***,***,***,***,***,***,***
BCREEK 9,2.97,5.94,2.97,100.00,0.00,-2.97,-100.00,0.00,-2.97,-100.00,1.48,-1.48,-50.00,***,***,***,***,***,***,1.48,-1.48,-50.00,0.00,-2.97,-100.00,0.00,-2.97,-100.00,0.00,-2.97,-100.00,4.43,1.46,49.16,0.00,-2.97,-100.00,***,***,***,***,***,***,***,***,***
MG2 Plot 1,2.93,11.70,8.78,300.00,1.46,-1.46,-50.00,1.46,-1.46,-50.00,1.46,-1.46,-50.00,1.46,-1.46,-50.00,1.46,-1.46,-50.00,***,***,***,***,***,***,0.00,-2.93,-100.00,1.46,-1.46,-50.00,1.46,-1.46,-50.00,***,***,***,***,***,***,***,***,***,0.00,-2.93,-100.00
MG2 Plot 10,2.93,0.00,-2.93,-100.00,0.00,-2.93,-100.00,0.00,-2.93,-100.00,0.00,-2.93,-100.00,0.00,-2.93,-100.00,1.46,-1.46,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 11,5.84,1.46,-4.38,-75.00,0.00,-5.84,-100.00,0.00,-5.84,-100.00,1.46,-4.38,-75.00,0.00,-5.84,-100.00,1.46,-4.38,-75.00,***,***,***,***,***,***,4.38,-1.46,-25.00,0.00,-5.84,-100.00,1.46,-4.38,-75.00,***,***,***,***,***,***,***,***,***,0.00,-5.84,-100.00
MG2 Plot 12,1.46,5.83,4.37,300.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,***,***,***,***,***,***,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,***,***,***,***,***,***,***,***,***,0.00,-1.46,-100.00
MG2 Plot 13,1.47,1.47,0.00,0.00,1.47,0.00,0.00,5.87,4.41,300.00,0.00,-1.47,-100.00,1.47,0.00,0.00,0.00,-1.47,-100.00,***,***,***,***,***,***,2.94,1.47,100.00,5.87,4.41,300.00,1.47,0.00,0.00,***,***,***,***,***,***,***,***,***,11.75,10.28,700.00
MG2 Plot 14,2.90,2.90,0.00,0.00,1.45,-1.45,-50.00,0.00,-2.90,-100.00,0.00,-2.90,-100.00,1.45,-1.45,-50.00,2.90,0.00,0.00,***,***,***,***,***,***,0.00,-2.90,-100.00,0.00,-2.90,-100.00,5.81,2.90,100.00,***,***,***,***,***,***,***,***,***,1.45,-1.45,-50.00
MG2 Plot 15,5.97,2.99,-2.99,-50.00,0.00,-5.97,-100.00,7.47,1.49,25.00,0.00,-5.97,-100.00,0.00,-5.97,-100.00,1.49,-4.48,-75.00,***,***,***,***,***,***,2.99,-2.99,-50.00,2.99,-2.99,-50.00,2.99,-2.99,-50.00,***,***,***,***,***,***,***,***,***,1.49,-4.48,-75.00
MG2 Plot 16,7.27,2.91,-4.36,-60.00,0.00,-7.27,-100.00,0.00,-7.27,-100.00,0.00,-7.27,-100.00,0.00,-7.27,-100.00,0.00,-7.27,-100.00,***,***,***,***,***,***,0.00,-7.27,-100.00,1.45,-5.82,-80.00,1.45,-5.82,-80.00,***,***,***,***,***,***,***,***,***,1.45,-5.82,-80.00
MG2 Plot 17,1.46,4.39,2.93,200.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,***,***,***,***,***,***,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,***,***,***,***,***,***,***,***,***,1.46,0.00,0.00
MG2 Plot 18,5.81,7.26,1.45,25.00,0.00,-5.81,-100.00,0.00,-5.81,-100.00,0.00,-5.81,-100.00,0.00,-5.81,-100.00,0.00,-5.81,-100.00,***,***,***,***,***,***,0.00,-5.81,-100.00,0.00,-5.81,-100.00,0.00,-5.81,-100.00,***,***,***,***,***,***,***,***,***,0.00,-5.81,-100.00
MG2 Plot 19,1.45,4.36,2.91,200.00,0.00,-1.45,-100.00,0.00,-1.45,-100.00,0.00,-1.45,-100.00,0.00,-1.45,-100.00,0.00,-1.45,-100.00,***,***,***,***,***,***,4.36,2.91,200.00,7.27,5.82,400.00,4.36,2.91,200.00,***,***,***,***,***,***,***,***,***,2.91,1.45,100.00
MG2 Plot 2,4.36,2.91,-1.45,-33.33,1.45,-2.91,-66.67,0.00,-4.36,-100.00,1.45,-2.91,-66.67,2.91,-1.45,-33.33,2.91,-1.45,-33.33,***,***,***,***,***,***,0.00,-4.36,-100.00,0.00,-4.36,-100.00,0.00,-4.36,-100.00,***,***,***,***,***,***,***,***,***,0.00,-4.36,-100.00
MG2 Plot 20,4.38,0.00,-4.38,-100.00,0.00,-4.38,-100.00,1.46,-2.92,-66.67,0.00,-4.38,-100.00,0.00,-4.38,-100.00,1.46,-2.92,-66.67,***,***,***,***,***,***,2.92,-1.46,-33.33,0.00,-4.38,-100.00,1.46,-2.92,-66.67,***,***,***,***,***,***,***,***,***,0.00,-4.38,-100.00
MG2 Plot 3,1.45,2.90,1.45,100.00,0.00,-1.45,-100.00,0.00,-1.45,-100.00,0.00,-1.45,-100.00,0.00,-1.45,-100.00,0.00,-1.45,-100.00,***,***,***,***,***,***,0.00,-1.45,-100.00,1.45,0.00,0.00,0.00,-1.45,-100.00,***,***,***,***,***,***,***,***,***,0.00,-1.45,-100.00
