ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 1,0.27,0.76,0.49,182.35,0.49,0.22,82.35,0.59,0.32,117.65,0.68,0.41,152.94,***,***,***,***,***,***,0.33,0.06,23.53,0.16,-0.11,-41.18,0.00,-0.27,-100.00,0.10,-0.17,-64.71,0.10,-0.17,-64.73,0.10,-0.17,-64.69,***,***,***,***,***,***,***,***,***
BCREEK 10,0.13,0.20,0.07,50.00,0.02,-0.11,-87.50,0.03,-0.10,-75.00,0.05,-0.08,-62.50,***,***,***,***,***,***,0.13,0.00,0.00,0.05,-0.08,-62.50,0.00,-0.13,-100.00,0.21,0.08,62.50,0.14,0.01,9.80,0.05,-0.08,-62.50,***,***,***,***,***,***,***,***,***
BCREEK 11,0.10,0.12,0.02,16.67,0.07,-0.03,-33.33,0.10,0.00,0.00,0.10,0.00,0.00,***,***,***,***,***,***,0.25,0.15,150.00,0.00,-0.10,-100.00,0.17,0.07,66.67,0.07,-0.03,-33.33,0.05,-0.05,-50.38,0.03,-0.07,-66.67,***,***,***,***,***,***,***,***,***
BCREEK 12,0.08,0.33,0.25,300.00,0.03,-0.05,-60.00,0.00,-0.08,-100.00,0.08,0.00,0.00,***,***,***,***,***,***,0.10,0.02,20.00,0.02,-0.07,-80.00,0.05,-0.03,-40.00,0.00,-0.08,-100.00,0.08,0.00,-1.93,0.00,-0.08,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 13,0.00,0.06,0.06,***,0.03,0.03,***,0.08,0.08,***,0.00,0.00,0.00,***,***,***,***,***,***,0.03,0.03,***,0.10,0.10,***,0.03,0.03,***,0.05,0.05,***,0.03,0.03,***,0.03,0.03,***,***,***,***,***,***,***,***,***,***
BCREEK 14,0.22,0.34,0.11,50.00,0.30,0.08,35.71,0.34,0.11,50.00,0.51,0.29,128.57,***,***,***,***,***,***,0.43,0.21,92.86,0.21,-0.02,-7.14,0.13,-0.10,-42.86,0.02,-0.21,-92.86,0.10,-0.13,-57.37,***,***,***,0.03,-0.19,-85.79,***,***,***,***,***,***
BCREEK 15,0.02,0.14,0.13,800.00,0.00,-0.02,-100.00,0.11,0.10,600.00,0.06,0.05,300.00,***,***,***,***,***,***,0.10,0.08,500.00,0.32,0.31,1900.00,0.14,0.13,800.00,0.13,0.11,700.00,0.16,0.14,895.75,0.03,0.02,99.15,***,***,***,***,***,***,***,***,***
BCREEK 16,0.12,0.31,0.20,171.43,0.00,-0.12,-100.00,0.10,-0.02,-14.29,0.05,-0.07,-57.14,***,***,***,***,***,***,0.12,0.00,0.00,0.10,-0.02,-14.29,0.00,-0.12,-100.00,0.17,0.05,42.86,0.08,-0.04,-31.23,0.21,0.09,78.80,***,***,***,***,***,***,***,***,***
BCREEK 17,0.07,0.21,0.14,200.00,0.03,-0.03,-50.00,0.05,-0.02,-25.00,0.09,0.02,25.00,***,***,***,***,***,***,0.07,0.00,0.00,0.09,0.02,25.00,0.07,0.00,0.00,0.21,0.14,200.00,0.15,0.08,114.84,0.11,0.05,67.10,***,***,***,***,***,***,***,***,***
BCREEK 18,0.34,0.83,0.49,145.00,0.07,-0.27,-80.00,0.07,-0.27,-80.00,0.27,-0.07,-20.00,***,***,***,***,***,***,0.10,-0.24,-70.00,0.07,-0.27,-80.00,0.08,-0.25,-75.00,0.31,-0.03,-10.00,0.13,-0.21,-62.54,0.10,-0.24,-71.91,***,***,***,***,***,***,***,***,***
BCREEK 19,0.13,0.12,-0.02,-12.50,0.00,-0.13,-100.00,0.00,-0.13,-100.00,0.03,-0.10,-75.00,***,***,***,***,***,***,0.07,-0.07,-50.00,0.00,-0.13,-100.00,0.00,-0.13,-100.00,0.08,-0.05,-37.50,0.03,-0.10,-75.88,0.00,-0.13,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 2,0.08,0.10,0.02,20.00,0.00,-0.08,-100.00,0.03,-0.05,-60.00,0.10,0.02,20.00,***,***,***,***,***,***,0.13,0.05,60.00,0.13,0.05,60.00,0.02,-0.06,-80.00,0.10,0.02,20.00,0.10,0.02,20.00,0.08,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 20,0.07,0.60,0.54,825.00,0.20,0.13,200.00,0.18,0.11,175.00,0.15,0.08,125.00,***,***,***,***,***,***,0.20,0.13,200.00,0.02,-0.05,-75.00,0.05,-0.02,-25.00,0.18,0.11,175.00,0.14,0.08,121.73,0.06,0.00,-1.45,***,***,***,***,***,***,***,***,***
BCREEK 21,0.13,0.35,0.22,175.00,0.06,-0.06,-50.00,0.33,0.21,162.50,0.02,-0.11,-87.50,***,***,***,***,***,***,0.83,0.70,550.00,0.10,-0.03,-25.00,0.03,-0.10,-75.00,0.27,0.14,112.50,0.03,-0.10,-74.87,0.07,-0.06,-48.37,***,***,***,***,***,***,***,***,***
BCREEK 3,0.02,0.14,0.13,800.00,0.10,0.08,500.00,0.13,0.11,700.00,0.37,0.35,2200.00,***,***,***,***,***,***,0.00,-0.02,-100.00,0.02,0.00,0.00,0.05,0.03,200.00,0.10,0.08,500.00,0.02,0.00,0.00,0.02,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 4,0.02,0.05,0.03,200.00,0.00,-0.02,-100.00,0.00,-0.02,-100.00,0.05,0.03,200.00,***,***,***,***,***,***,0.00,-0.02,-100.00,0.00,-0.02,-100.00,0.00,-0.02,-100.00,0.08,0.06,400.00,0.05,0.03,200.00,0.50,0.48,2978.46,***,***,***,***,***,***,***,***,***
BCREEK 5,0.00,0.31,0.31,***,0.02,0.02,***,0.03,0.03,***,0.03,0.03,***,***,***,***,***,***,***,0.26,0.26,***,0.13,0.13,***,0.19,0.19,***,0.05,0.05,***,0.08,0.08,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 6,0.02,0.22,0.21,1300.00,0.06,0.05,300.00,0.05,0.03,200.00,0.00,-0.02,-100.00,***,***,***,***,***,***,0.05,0.03,200.00,0.05,0.03,200.00,0.19,0.18,1100.00,0.14,0.13,800.00,0.02,0.00,-1.09,0.06,0.05,295.65,***,***,***,***,***,***,***,***,***
BCREEK 7,0.11,0.19,0.08,71.43,0.00,-0.11,-100.00,0.02,-0.10,-85.71,0.05,-0.06,-57.14,***,***,***,***,***,***,0.24,0.13,114.29,0.23,0.11,100.00,0.05,-0.06,-57.14,0.11,0.00,0.00,0.10,-0.02,-13.62,0.03,-0.08,-71.21,***,***,***,***,***,***,***,***,***
