ProjectUnit = Pocket Mesa Fuels
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr
Browns 11,1.22
Browns 12,1.17
Browns 17,0.63
Browns 24,0.25
Browns 25,0.21
Browns 32,0.92
Browns 34,0.32
Mean,0.67
