ProjectUnit = Pocket Mesa Fuels
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr
Browns 11,18.64
Browns 12,12.36
Browns 17,8.60
Browns 24,4.74
Browns 25,6.86
Browns 32,12.78
Browns 34,8.01
Mean,10.28
