ProjectUnit = Pocket Mesa Fuels
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pre-Attr
Browns 11,2.49
Browns 12,0.80
Browns 17,1.49
Browns 24,1.29
Browns 25,0.94
Browns 32,1.00
Browns 34,1.19
Mean,1.32
