ProjectUnit = FJUMO1T06
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FJUMO1T06:06,0.04,0.00,-0.03,-88.89,0.02,-0.02,-55.55,0.02,-0.02,-44.44,0.00,-0.04,-100.00,***,***,***,0.02,-0.02,-55.58,***,***,***,***,***,***,0.02,-0.02,-55.58,0.03,-0.01,-22.26,0.01,-0.02,-66.68,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:07,0.15,0.10,-0.04,-29.73,***,***,***,0.14,-0.01,-5.41,0.09,-0.06,-37.84,***,***,***,0.24,0.09,62.17,***,***,***,***,***,***,0.16,0.02,10.82,0.14,-0.01,-5.40,0.36,0.21,145.96,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:08,0.20,0.13,-0.07,-34.65,0.11,-0.09,-44.87,0.07,-0.12,-63.28,0.10,-0.09,-46.84,***,***,***,0.23,0.03,15.99,***,***,***,***,***,***,0.14,-0.06,-28.78,0.17,-0.02,-10.47,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:14,0.00,0.00,0.00,0.00,***,***,***,0.05,0.04,1100.10,0.05,0.05,1200.30,***,***,***,0.03,0.02,600.20,***,***,***,***,***,***,0.02,0.01,300.10,0.02,0.02,500.40,0.02,0.02,500.10,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:01,***,0.11,***,***,***,***,***,0.05,***,***,***,***,***,0.15,***,***,0.23,***,***,***,***,***,0.82,***,***,0.31,***,***,0.09,***,***,0.21,***,***,0.05,***,***,***,***,***,0.27,***,***
B:FJUMO1T06:02,***,0.09,***,***,***,***,***,0.00,***,***,***,***,***,0.07,***,***,0.06,***,***,***,***,***,0.04,***,***,0.04,***,***,0.02,***,***,0.08,***,***,0.02,***,***,***,***,***,0.03,***,***
B:FJUMO1T06:03,***,0.12,***,***,***,***,***,0.07,***,***,***,***,***,0.12,***,***,***,***,***,***,***,***,0.04,***,***,0.07,***,***,0.07,***,***,0.12,***,***,0.31,***,***,0.12,***,***,***,***,***
B:FJUMO1T06:04,***,0.03,***,***,***,***,***,0.16,***,***,0.00,***,***,***,***,***,0.02,***,***,***,***,***,0.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:09,***,0.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:10,***,0.12,***,***,0.05,***,***,0.04,***,***,***,***,***,0.01,***,***,0.19,***,***,***,***,***,0.08,***,***,***,***,***,0.06,***,***,0.04,***,***,0.03,***,***,***,***,***,0.05,***,***
