ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff
ABCO-27,0.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.40,0.23,132.73,0.16,-0.02,-9.09,0.16,-0.01,-7.27,***,***,***
ABCO-28,0.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.35,0.17,98.15,0.32,0.15,83.80,0.16,-0.01,-7.19,***,***,***
ABCO-29,0.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.23,0.06,32.73,0.17,0.00,0.01,***,***,***,***,***,***
ABCO-30,0.27,0.10,-0.16,-60.94,0.18,-0.09,-33.24,0.38,0.11,41.97,0.88,0.61,230.33,0.33,0.07,25.41,***,***,***,***,***,***,***,***,***,0.12,-0.15,-56.06
ABCO-31,0.52,0.31,-0.21,-41.17,0.13,-0.39,-75.48,0.35,-0.17,-32.20,0.47,-0.05,-8.97,0.25,-0.27,-51.96,***,***,***,***,***,***,***,***,***,0.18,-0.34,-65.75
ABCO-32,0.06,0.00,-0.06,-100.00,0.01,-0.05,-80.03,0.02,-0.05,-74.96,0.07,0.01,19.93,0.01,-0.05,-80.00,***,***,***,***,***,***,***,***,***,0.21,0.14,230.77
ABCO-35,0.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.37,-0.28,-42.97,0.72,0.07,10.83,***,***,***,***,***,***
ABCO-36,0.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.33,0.09,37.28,0.68,0.44,180.95,***,***,***,***,***,***
Mean,0.28,0.14,0.15,51.54,0.11,0.18,62.45,0.25,0.03,11.80,0.48,-0.19,-68.74,0.20,0.08,29.53,0.33,-0.05,-18.65,0.41,-0.13,-45.17,0.16,0.12,43.20,0.17,0.11,40.76
