ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff
ABCO-27,0.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.07,0.27,33.33,0.53,-0.27,-33.33,0.53,-0.27,-33.33,***,***,***
ABCO-28,1.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.07,-0.80,-42.91,1.34,-0.53,-28.51,2.14,0.27,14.36,***,***,***
ABCO-29,0.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.27,-100.00,0.00,-0.27,-100.00,***,***,***,***,***,***
ABCO-30,2.46,1.63,-0.83,-33.71,1.36,-1.09,-44.53,1.90,-0.56,-22.73,1.09,-1.37,-55.83,2.71,0.25,10.24,***,***,***,***,***,***,***,***,***,4.36,1.90,77.35
ABCO-31,0.83,0.57,-0.26,-31.20,0.27,-0.56,-67.40,0.56,-0.27,-32.60,0.57,-0.26,-31.20,1.63,0.81,97.79,***,***,***,***,***,***,***,***,***,1.10,0.27,33.01
ABCO-32,1.61,0.54,-1.08,-66.76,0.27,-1.35,-83.41,0.80,-0.81,-50.14,0.00,-1.61,-100.00,0.54,-1.08,-66.81,***,***,***,***,***,***,***,***,***,1.88,0.27,16.61
ABCO-35,6.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.78,-2.70,-41.62,6.20,-0.28,-4.25,***,***,***,***,***,***
ABCO-36,2.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.14,-0.53,-19.93,2.14,-0.53,-19.91,***,***,***,***,***,***
Mean,2.12,0.91,1.21,57.11,0.63,1.49,70.19,1.09,1.04,48.85,0.55,1.57,74.05,1.63,0.50,23.45,1.61,0.51,24.07,2.04,0.08,3.77,1.34,0.78,36.94,2.45,-0.32,-15.12
