ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff
ABCO-27,14.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,20.22,6.06,42.76,19.17,5.00,35.34,8.06,-6.11,-43.11,***,***,***
ABCO-28,23.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,53.80,29.88,124.90,36.59,12.66,52.93,17.37,-6.56,-27.41,***,***,***
ABCO-29,13.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,27.58,14.16,105.60,16.37,2.95,22.01,***,***,***,***,***,***
ABCO-30,47.00,19.12,-27.88,-59.32,26.38,-20.62,-43.88,23.02,-23.97,-51.01,24.32,-22.67,-48.24,34.33,-12.66,-26.94,***,***,***,***,***,***,***,***,***,25.22,-21.77,-46.33
ABCO-31,42.04,24.27,-17.77,-42.26,27.23,-14.81,-35.24,12.16,-29.88,-71.07,24.72,-17.32,-41.19,38.29,-3.75,-8.93,***,***,***,***,***,***,***,***,***,11.26,-30.78,-73.21
ABCO-32,36.09,0.85,-35.23,-97.64,2.10,-33.98,-94.17,2.45,-33.63,-93.20,8.81,-27.28,-75.59,12.31,-23.77,-65.88,***,***,***,***,***,***,***,***,***,9.31,-26.78,-74.20
ABCO-35,41.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,71.02,29.83,72.42,56.91,15.72,38.15,***,***,***,***,***,***
ABCO-36,19.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,37.49,18.22,94.55,21.72,2.45,12.73,***,***,***,***,***,***
Mean,29.64,14.75,14.89,50.24,18.57,11.07,37.34,12.55,17.09,57.67,19.29,10.35,34.92,28.31,1.32,4.47,42.02,-12.39,-41.79,30.15,-0.51,-1.74,12.71,16.92,57.10,15.26,14.37,48.49
