ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff
ABCO-27,29.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,31.60,2.39,8.17,30.20,0.98,3.36,18.72,-10.49,-35.91,***,***,***
ABCO-28,44.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,70.01,25.10,55.89,60.64,15.73,35.03,35.40,-9.51,-21.17,***,***,***
ABCO-29,20.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,33.54,12.82,61.89,26.59,5.87,28.34,***,***,***,***,***,***
ABCO-30,63.82,32.05,-31.77,-49.78,46.05,-17.77,-27.84,37.25,-26.57,-41.63,45.14,-18.68,-29.27,71.59,7.77,12.18,***,***,***,***,***,***,***,***,***,66.36,2.54,3.98
ABCO-31,48.56,36.32,-12.24,-25.21,46.50,-2.06,-4.24,27.09,-21.47,-44.22,39.95,-8.61,-17.73,53.36,4.80,9.89,***,***,***,***,***,***,***,***,***,29.60,-18.96,-39.05
ABCO-32,43.55,3.64,-39.91,-91.64,6.14,-37.41,-85.89,6.20,-37.35,-85.77,21.20,-22.35,-51.33,52.85,9.30,21.35,***,***,***,***,***,***,***,***,***,61.51,17.96,41.24
ABCO-35,99.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,116.41,16.78,16.85,115.77,16.15,16.21,***,***,***,***,***,***
ABCO-36,41.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,57.20,15.28,36.46,56.05,14.13,33.72,***,***,***,***,***,***
Mean,49.04,24.01,25.03,51.05,32.90,16.14,32.91,23.51,25.53,52.05,35.43,13.61,27.75,59.27,-10.23,-20.86,61.75,-12.71,-25.92,57.85,-8.81,-17.97,27.06,21.98,44.81,52.49,-3.45,-7.04
