ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff
ABCO-27,2.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.14,-0.76,-26.27,0.98,-1.92,-66.21,2.14,-0.77,-26.48,***,***,***
ABCO-28,1.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.53,-1.18,-68.90,11.81,10.11,592.15,0.44,-1.27,-74.38,***,***,***
ABCO-29,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.17,0.17,***,0.00,0.00,0.00,***,***,***,***,***,***
ABCO-30,1.11,1.07,-0.04,-3.64,1.15,0.04,3.22,0.86,-0.25,-22.49,0.18,-0.93,-83.57,0.38,-0.73,-66.06,***,***,***,***,***,***,***,***,***,7.14,6.03,542.88
ABCO-31,0.00,0.36,0.36,***,0.00,0.00,0.00,0.44,0.44,***,0.28,0.28,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
ABCO-32,0.00,0.00,0.00,0.00,0.23,0.23,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,3.18,3.18,***
ABCO-35,13.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.00,-5.51,-40.77,5.11,-8.41,-62.22,***,***,***,***,***,***
ABCO-36,6.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.57,-4.58,-74.44,8.26,2.10,34.10,***,***,***,***,***,***
Mean,3.17,0.48,2.70,84.98,0.46,2.72,85.58,0.43,2.74,86.35,0.16,3.02,95.09,0.13,3.05,96.04,2.48,0.69,21.75,5.23,-2.06,-64.81,1.29,1.89,59.45,3.44,-0.26,-8.34
