ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff
ABCO-27,0.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.01,0.45,80.00,0.39,-0.17,-30.00,0.51,-0.06,-10.00,***,***,***
ABCO-28,0.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.07,0.45,72.76,0.39,-0.22,-36.33,0.79,0.17,27.48,***,***,***
ABCO-29,0.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.62,-0.28,-31.25,0.62,-0.28,-31.25,***,***,***,***,***,***
ABCO-30,1.21,0.80,-0.40,-33.35,1.61,0.40,33.22,1.95,0.74,61.19,1.38,0.17,14.09,1.89,0.68,56.40,***,***,***,***,***,***,***,***,***,1.54,0.34,27.96
ABCO-31,0.97,0.80,-0.18,-18.16,1.05,0.07,7.49,0.63,-0.34,-35.28,1.50,0.53,54.09,2.16,1.19,121.94,***,***,***,***,***,***,***,***,***,2.25,1.28,131.08
ABCO-32,1.35,0.00,-1.35,-100.00,0.11,-1.24,-91.65,0.34,-1.01,-75.00,0.22,-1.13,-83.38,1.01,-0.34,-25.11,***,***,***,***,***,***,***,***,***,0.39,-0.96,-70.87
ABCO-35,3.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.89,-0.40,-12.22,3.06,-0.23,-6.96,***,***,***,***,***,***
ABCO-36,1.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.58,0.23,16.79,1.97,0.62,45.95,***,***,***,***,***,***
Mean,1.28,0.53,0.75,58.38,0.92,0.36,28.06,0.97,0.31,24.25,1.03,0.25,19.36,1.69,-0.40,-31.57,1.43,-0.15,-11.80,1.29,-0.01,-0.46,0.65,0.63,49.50,1.40,-0.11,-8.86
