ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff
ABCO-27,4.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.09,-1.46,-32.13,4.70,0.14,3.17,3.01,-1.55,-33.94,***,***,***
ABCO-28,5.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.14,-1.30,-23.86,2.55,-2.88,-53.03,8.92,3.48,64.02,***,***,***
ABCO-29,5.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.47,-1.26,-21.94,9.43,3.71,64.75,***,***,***,***,***,***
ABCO-30,6.57,3.19,-3.38,-51.41,9.72,3.15,47.96,4.96,-1.61,-24.45,12.11,5.54,84.33,8.06,1.49,22.73,***,***,***,***,***,***,***,***,***,13.66,7.09,107.84
ABCO-31,4.20,8.94,4.74,112.75,15.29,11.08,263.73,9.23,5.03,119.61,11.29,7.09,168.63,8.05,3.85,91.67,***,***,***,***,***,***,***,***,***,10.11,5.91,140.69
ABCO-32,3.34,1.19,-2.14,-64.20,2.41,-0.93,-27.78,2.41,-0.93,-27.78,7.00,3.67,109.88,4.76,1.42,42.59,***,***,***,***,***,***,***,***,***,8.20,4.86,145.68
ABCO-35,5.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.28,-2.47,-43.01,3.48,-2.27,-39.43,***,***,***,***,***,***
ABCO-36,4.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.96,-2.18,-52.74,9.95,5.81,140.30,***,***,***,***,***,***
Mean,4.96,4.44,0.52,10.51,9.14,-4.17,-84.09,5.53,-0.57,-11.48,10.14,-5.17,-104.15,6.96,-1.99,-40.18,3.39,1.58,31.78,6.02,-1.06,-21.33,5.96,-1.00,-20.12,10.66,-5.69,-114.66
