ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff
ABCO-27,0.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.01,0.30,42.76,0.96,0.25,35.34,0.40,-0.31,-43.11,***,***,***
ABCO-28,1.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.69,1.49,124.90,1.83,0.63,52.93,0.87,-0.33,-27.41,***,***,***
ABCO-29,0.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.38,0.71,105.60,0.82,0.15,22.01,***,***,***,***,***,***
ABCO-30,2.35,0.96,-1.39,-59.32,1.32,-1.03,-43.88,1.15,-1.20,-51.01,1.22,-1.13,-48.24,1.72,-0.63,-26.94,***,***,***,***,***,***,***,***,***,1.26,-1.09,-46.33
ABCO-31,2.10,1.21,-0.89,-42.26,1.36,-0.74,-35.24,0.61,-1.49,-71.07,1.24,-0.87,-41.19,1.91,-0.19,-8.93,***,***,***,***,***,***,***,***,***,0.56,-1.54,-73.21
ABCO-32,1.80,0.04,-1.76,-97.64,0.11,-1.70,-94.17,0.12,-1.68,-93.20,0.44,-1.36,-75.59,0.62,-1.19,-65.88,***,***,***,***,***,***,***,***,***,0.47,-1.34,-74.20
ABCO-35,2.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.55,1.49,72.42,2.84,0.79,38.15,***,***,***,***,***,***
ABCO-36,0.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.87,0.91,94.55,1.09,0.12,12.73,***,***,***,***,***,***
Mean,1.48,0.74,0.74,50.24,0.93,0.55,37.34,0.63,0.85,57.67,0.96,0.52,34.92,1.41,0.07,4.47,2.10,-0.62,-41.79,1.51,-0.03,-1.74,0.64,0.85,57.10,0.76,0.72,48.49
