ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff
ABCO-27,0.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.38,-0.18,-32.13,0.57,0.02,3.17,0.37,-0.19,-33.94,***,***,***
ABCO-28,0.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.50,-0.16,-23.86,0.31,-0.35,-53.03,1.08,0.42,64.02,***,***,***
ABCO-29,0.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.54,-0.15,-21.94,1.15,0.45,64.75,***,***,***,***,***,***
ABCO-30,0.80,0.39,-0.41,-51.41,1.18,0.38,47.96,0.60,-0.20,-24.45,1.47,0.67,84.33,0.98,0.18,22.73,***,***,***,***,***,***,***,***,***,1.66,0.86,107.84
ABCO-31,0.51,1.09,0.58,112.75,1.86,1.35,263.73,1.12,0.61,119.61,1.37,0.86,168.63,0.98,0.47,91.67,***,***,***,***,***,***,***,***,***,1.23,0.72,140.69
ABCO-32,0.41,0.15,-0.26,-64.20,0.29,-0.11,-27.78,0.29,-0.11,-27.78,0.85,0.45,109.88,0.58,0.17,42.59,***,***,***,***,***,***,***,***,***,1.00,0.59,145.68
ABCO-35,0.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.40,-0.30,-43.01,0.42,-0.28,-39.43,***,***,***,***,***,***
ABCO-36,0.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.24,-0.27,-52.74,1.21,0.71,140.30,***,***,***,***,***,***
Mean,0.60,0.54,0.06,10.51,1.11,-0.51,-84.09,0.67,-0.07,-11.48,1.23,-0.63,-104.15,0.84,-0.24,-40.18,0.41,0.19,31.78,0.73,-0.13,-21.33,0.72,-0.12,-20.12,1.29,-0.69,-114.66
