ProjectUnit = FMICO1D08
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff,00YR20-Attr,00YR20-Diff,00YR20-%Diff,00YR21-Attr,00YR21-Diff,00YR21-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,00YR25-Attr,00YR25-Diff,00YR25-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff,UNKNOWN 02-Attr,UNKNOWN 02-Diff,UNKNOWN 02-%Diff
FMICO1D0808,0.09,0.13,0.04,43.42,***,***,***,***,***,***,***,***,***,0.02,-0.08,-82.63,0.09,0.00,-0.11,0.06,-0.03,-34.74,0.23,0.14,147.83,0.06,-0.04,-39.08,0.09,0.00,-4.05,***,***,***,0.07,-0.02,-21.82,***,***,***,***,***,***,***,***,***
FMICO1D0809,0.09,0.02,-0.08,-82.49,***,***,***,***,***,***,***,***,***,0.02,-0.07,-77.66,0.09,0.00,-2.47,0.12,0.03,29.03,0.20,0.11,121.51,0.46,0.37,400.05,0.16,0.06,69.48,***,***,***,0.20,0.11,118.35,***,***,***,***,***,***,***,***,***
FMICO1D0801,***,0.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.14,***,***,0.46,***,***,0.36,***,***,***,***,***,***,***,***,0.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0803,***,1.53,***,***,***,***,***,***,***,***,1.80,***,***,***,***,***,2.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0804,***,0.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.33,***,***,0.44,***,***,0.51,***,***,***,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0805,***,0.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.20,***,***,0.38,***,***,0.72,***,***,***,***,***,***,***,***,0.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0806,***,0.15,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,0.07,***,***,0.16,***,***,***,***,***,0.13,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0807,***,0.01,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,0.03,***,***,0.00,***,***,0.02,***,***,0.06,***,***,0.02,***,***,***,***,***,0.07,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0812,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.05,***,***,0.05,***,***,0.04,***,***,***,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0820,***,0.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,***,***,0.38,***,***,0.27,***,***,***,***,***,***,***,***,0.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0822,***,1.08,***,***,***,***,***,***,***,***,0.44,***,***,***,***,***,0.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0844,***,0.10,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,0.06,***,***,0.04,***,***,0.17,***,***,0.08,***,***,0.08,***,***,***,***,***,0.10,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0850,***,0.13,***,***,0.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0851,***,0.07,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
