ProjectUnit = JUMO1T06
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff
B_FJUMO1T06_01,2.26,***,***,***,***,***,***,***,***,***,***,***,***
B_FJUMO1T06_02,2.00,***,***,***,***,***,***,***,***,***,***,***,***
B_FJUMO1T06_03,1.77,0.87,-0.90,-50.70,1.10,-0.67,-38.03,0.96,-0.81,-45.77,1.20,-0.57,-32.39
B_FJUMO1T06_04,0.76,***,***,***,***,***,***,***,***,***,***,***,***
B_FJUMO1T06_05,1.88,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.73,0.87,0.86,49.64,1.10,0.64,36.69,0.96,0.77,44.60,1.20,0.54,30.94
