ProjectUnit = JUMO1T06
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff
B_FJUMO1T06_01,0.17,***,***,***,***,***,***,***,***,***,***,***,***
B_FJUMO1T06_02,0.04,***,***,***,***,***,***,***,***,***,***,***,***
B_FJUMO1T06_03,0.00,0.05,0.05,***,0.02,0.02,***,0.00,0.00,0.00,0.01,0.01,***
B_FJUMO1T06_04,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B_FJUMO1T06_05,0.00,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.04,0.05,-0.01,-20.69,0.02,0.02,48.28,0.00,0.04,100.00,0.01,0.04,82.76
