ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year08-Attr,Re01Year08-Diff,Re01Year08-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year12-Attr,Re01Year12-Diff,Re01Year12-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff
FPIPO1T0204,2.43,1.22,-1.21,-49.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0203,***,0.61,***,***,0.91,***,***,***,***,***,***,***,***,3.35,***,***,5.80,***,***,***,***,***,4.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***
FPIPO1T0205,***,0.91,***,***,0.00,***,***,0.00,***,***,0.30,***,***,0.91,***,***,0.61,***,***,***,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***
FPIPO1T0206,***,4.28,***,***,1.23,***,***,0.30,***,***,1.52,***,***,1.52,***,***,4.59,***,***,***,***,***,5.81,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0209,***,0.63,***,***,1.62,***,***,3.90,***,***,3.23,***,***,9.61,***,***,4.11,***,***,***,***,***,5.13,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0211,***,0.30,***,***,0.00,***,***,0.61,***,***,0.61,***,***,0.92,***,***,***,***,***,1.52,***,***,***,***,***,1.21,***,***,0.61,***,***,0.91,***,***,0.30,***,***,***,***,***,***,***,***
FPIPO1T0212,***,1.21,***,***,0.00,***,***,0.30,***,***,0.30,***,***,1.51,***,***,***,***,***,1.21,***,***,***,***,***,0.30,***,***,0.30,***,***,0.61,***,***,0.91,***,***,***,***,***,***,***,***
FPIPO1T0213,***,1.52,***,***,1.52,***,***,1.52,***,***,0.91,***,***,1.21,***,***,1.52,***,***,***,***,***,***,***,***,1.82,***,***,1.52,***,***,1.82,***,***,0.91,***,***,***,***,***,***,***,***
FPIPO1T0216,***,0.30,***,***,0.30,***,***,1.21,***,***,0.61,***,***,0.91,***,***,0.61,***,***,***,***,***,***,***,***,0.91,***,***,0.30,***,***,0.61,***,***,2.12,***,***,***,***,***,***,***,***
FPIPO1T0218,***,0.91,***,***,1.51,***,***,3.33,***,***,2.73,***,***,3.33,***,***,2.42,***,***,***,***,***,***,***,***,0.91,***,***,0.30,***,***,0.61,***,***,0.82,***,***,***,***,***,***,***,***
FPIPO1T0219,***,1.52,***,***,1.52,***,***,0.61,***,***,0.30,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***,0.30,***,***,0.00,***,***,1.21,***,***,0.91,***,***,***,***,***
FPIPO1T0221,***,3.64,***,***,0.61,***,***,0.00,***,***,0.30,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***,0.30,***,***,0.30,***,***,0.00,***,***,0.61,***,***,***,***,***
FPIPO1T0222,***,3.35,***,***,0.31,***,***,1.22,***,***,3.05,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.00,***,***,0.00,***,***,1.22,***,***,0.31,***,***,***,***,***
FPIPO1T0223,***,2.23,***,***,0.00,***,***,2.58,***,***,1.94,***,***,1.61,***,***,***,***,***,***,***,***,***,***,***,1.27,***,***,0.63,***,***,0.64,***,***,0.64,***,***,0.97,***,***,***,***,***
FPIPO1T0224,***,0.32,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,3.37,***,***,***,***,***
FPIPO1T0217,***,***,***,***,1.52,***,***,0.61,***,***,1.82,***,***,0.00,***,***,1.21,***,***,***,***,***,***,***,***,0.30,***,***,1.21,***,***,0.91,***,***,0.00,***,***,***,***,***,***,***,***
FPIPO1T0220,***,***,***,***,1.22,***,***,1.22,***,***,0.61,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.61,***,***,0.61,***,***,2.13,***,***,0.30,***,***,***,***,***
FPIPO1T0225,***,***,***,***,1.22,***,***,0.91,***,***,1.21,***,***,0.61,***,***,1.22,***,***,***,***,***,***,***,***,0.91,***,***,1.21,***,***,1.83,***,***,0.91,***,***,***,***,***,***,***,***
Mean,2.43,1.53,0.91,37.18,0.79,1.64,67.43,1.15,1.29,52.94,1.22,1.22,50.07,1.73,0.70,28.83,2.45,-0.02,-0.75,1.36,1.07,43.96,4.18,-1.75,-71.79,0.70,1.73,71.05,0.49,1.95,80.00,0.68,1.75,72.07,0.86,1.57,64.67,1.08,1.36,55.75,0.00,2.43,100.00
