ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year08-Attr,Re01Year08-Diff,Re01Year08-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year12-Attr,Re01Year12-Diff,Re01Year12-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff
FPIPO1T0204,0.46,0.23,-0.23,-50.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0203,***,1.61,***,***,1.22,***,***,***,***,***,***,***,***,3.06,***,***,2.07,***,***,***,***,***,1.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.08,***,***
FPIPO1T0205,***,0.91,***,***,0.46,***,***,0.84,***,***,0.76,***,***,0.61,***,***,0.68,***,***,***,***,***,0.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.08,***,***
FPIPO1T0206,***,2.22,***,***,0.38,***,***,0.77,***,***,0.69,***,***,2.22,***,***,3.38,***,***,***,***,***,3.68,***,***,***,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0209,***,0.56,***,***,2.45,***,***,1.77,***,***,3.06,***,***,2.84,***,***,0.63,***,***,***,***,***,1.52,***,***,***,***,***,0.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0211,***,0.31,***,***,0.08,***,***,0.30,***,***,0.46,***,***,0.15,***,***,***,***,***,0.99,***,***,***,***,***,0.08,***,***,0.15,***,***,0.38,***,***,0.30,***,***,***,***,***,***,***,***
FPIPO1T0212,***,1.98,***,***,0.08,***,***,0.30,***,***,0.23,***,***,0.84,***,***,***,***,***,1.29,***,***,***,***,***,0.76,***,***,1.37,***,***,1.45,***,***,1.22,***,***,***,***,***,***,***,***
FPIPO1T0213,***,0.92,***,***,0.30,***,***,0.69,***,***,0.23,***,***,0.46,***,***,0.53,***,***,***,***,***,***,***,***,0.53,***,***,0.61,***,***,0.69,***,***,0.99,***,***,***,***,***,***,***,***
FPIPO1T0216,***,0.30,***,***,0.08,***,***,0.23,***,***,0.23,***,***,0.46,***,***,0.30,***,***,***,***,***,***,***,***,0.46,***,***,0.68,***,***,0.46,***,***,0.91,***,***,***,***,***,***,***,***
FPIPO1T0218,***,0.38,***,***,0.38,***,***,0.38,***,***,0.69,***,***,0.61,***,***,0.53,***,***,***,***,***,***,***,***,0.08,***,***,0.00,***,***,0.30,***,***,0.72,***,***,***,***,***,***,***,***
FPIPO1T0219,***,0.91,***,***,0.23,***,***,1.07,***,***,0.38,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,1.07,***,***,0.46,***,***,0.61,***,***,1.45,***,***,1.60,***,***,***,***,***
FPIPO1T0221,***,0.69,***,***,0.08,***,***,0.08,***,***,0.08,***,***,0.53,***,***,***,***,***,***,***,***,***,***,***,0.23,***,***,0.46,***,***,0.23,***,***,0.53,***,***,0.76,***,***,***,***,***
FPIPO1T0222,***,1.53,***,***,0.38,***,***,1.54,***,***,0.77,***,***,0.69,***,***,***,***,***,***,***,***,***,***,***,0.15,***,***,0.61,***,***,0.46,***,***,0.38,***,***,0.69,***,***,***,***,***
FPIPO1T0223,***,1.30,***,***,0.16,***,***,2.09,***,***,1.05,***,***,1.76,***,***,***,***,***,***,***,***,***,***,***,0.88,***,***,0.48,***,***,1.29,***,***,0.16,***,***,0.39,***,***,***,***,***
FPIPO1T0224,***,0.16,***,***,0.46,***,***,1.19,***,***,0.95,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***,1.78,***,***,1.40,***,***,0.69,***,***,0.77,***,***,3.32,***,***,***,***,***
FPIPO1T0217,***,***,***,***,0.15,***,***,0.61,***,***,1.14,***,***,0.46,***,***,0.53,***,***,***,***,***,***,***,***,0.38,***,***,0.69,***,***,0.15,***,***,0.46,***,***,***,***,***,***,***,***
FPIPO1T0220,***,***,***,***,0.76,***,***,1.61,***,***,1.23,***,***,1.07,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.15,***,***,0.61,***,***,0.84,***,***,1.22,***,***,***,***,***
FPIPO1T0225,***,***,***,***,0.38,***,***,0.62,***,***,0.38,***,***,0.46,***,***,0.46,***,***,***,***,***,***,***,***,0.38,***,***,1.23,***,***,0.46,***,***,0.61,***,***,***,***,***,***,***,***
Mean,0.46,0.93,-0.47,-102.77,0.47,-0.01,-2.71,0.88,-0.42,-91.11,0.77,-0.31,-67.14,0.98,-0.52,-112.32,1.01,-0.55,-120.25,1.14,-0.68,-148.11,1.78,-1.32,-286.24,0.54,-0.08,-18.34,0.57,-0.11,-24.62,0.60,-0.14,-29.96,0.72,-0.26,-56.41,1.33,-0.87,-188.98,0.08,0.38,83.40
