ProjectUnit = GRED
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,Pre-Attr
GRED 01,0.11
GRED 02,0.53
GRED 03,0.22
GRED 04,0.36
GRED 05,0.23
GRED 06,0.66
Mean,0.35
