ProjectUnit = RAP ASS 
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,02RXYR03-Attr,01PILEBURNYR03-Attr,01PILEBURNYR03-Diff,01PILEBURNYR03-%Diff,02RXYR01-Attr,02RXYR01-Diff,02RXYR01-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,01PILEBURNYR01-Attr,01PILEBURNYR01-Diff,01PILEBURNYR01-%Diff,02RXPOST-Attr,02RXPOST-Diff,02RXPOST-%Diff,01POSTPILE-Attr,01POSTPILE-Diff,01POSTPILE-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,01POSTPILEBURN-Attr,01POSTPILEBURN-Diff,01POSTPILEBURN-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year3-Attr,Re01Year3-Diff,Re01Year3-%Diff
YOWEST  1,9.71,1.21,-8.50,-87.50,0.00,-9.71,-100.00,***,***,***,0.00,-9.71,-100.00,1.21,-8.50,-87.50,0.00,-9.71,-100.00,***,***,***,***,***,***,0.00,-9.71,-100.00,***,***,***,***,***,***,***,***,***
YOWEST 13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 14,1.21,1.21,0.00,0.00,3.64,2.42,200.00,***,***,***,1.21,0.00,0.00,1.21,0.00,0.00,***,***,***,***,***,***,***,***,***,6.06,4.85,400.00,***,***,***,***,***,***,***,***,***
YOWEST 15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,1.33,1.33,***,***,***,***,***,***,***,***,***,***
YOWEST 2,1.23,0.00,-1.23,-100.00,0.00,-1.23,-100.00,***,***,***,1.23,0.00,0.00,0.00,-1.23,-100.00,***,***,***,***,***,***,***,***,***,0.00,-1.23,-100.00,***,***,***,***,***,***,***,***,***
YOWEST 3,6.06,1.21,-4.85,-80.00,1.21,-4.85,-80.00,***,***,***,7.27,1.21,20.00,0.00,-6.06,-100.00,1.21,-4.85,-80.00,***,***,***,***,***,***,0.00,-6.06,-100.00,***,***,***,***,***,***,***,***,***
YOWEST 4,3.74,1.25,-2.49,-66.67,2.49,-1.25,-33.33,***,***,***,0.00,-3.74,-100.00,1.25,-2.49,-66.67,1.25,-2.49,-66.67,***,***,***,***,***,***,2.49,-1.25,-33.33,***,***,***,***,***,***,***,***,***
YOWEST 5,2.45,6.12,3.67,150.00,1.22,-1.22,-50.00,***,***,***,4.89,2.45,100.00,6.12,3.67,150.00,1.22,-1.22,-50.00,***,***,***,***,***,***,1.22,-1.22,-50.00,***,***,***,***,***,***,***,***,***
YOWEST 7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
20IN 1,***,2.45,***,***,***,***,***,***,***,***,4.91,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,2.44,***,***,***,***,***,***,***,***,***,***,***
