ProjectUnit = RAP ASS 
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,02RXYR03-Attr,01PILEBURNYR03-Attr,01PILEBURNYR03-Diff,01PILEBURNYR03-%Diff,02RXYR01-Attr,02RXYR01-Diff,02RXYR01-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,01PILEBURNYR01-Attr,01PILEBURNYR01-Diff,01PILEBURNYR01-%Diff,02RXPOST-Attr,02RXPOST-Diff,02RXPOST-%Diff,01POSTPILE-Attr,01POSTPILE-Diff,01POSTPILE-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,01POSTPILEBURN-Attr,01POSTPILEBURN-Diff,01POSTPILEBURN-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year3-Attr,Re01Year3-Diff,Re01Year3-%Diff
YOWEST  1,3.05,2.75,-0.31,-10.00,3.36,0.31,10.00,***,***,***,3.97,0.92,30.00,2.75,-0.31,-10.00,3.97,0.92,30.00,***,***,***,***,***,***,0.61,-2.44,-80.00,***,***,***,***,***,***,***,***,***
YOWEST 13,2.13,1.52,-0.61,-28.57,0.61,-1.52,-71.43,***,***,***,1.52,-0.61,-28.57,1.52,-0.61,-28.57,***,***,***,***,***,***,***,***,***,0.30,-1.83,-85.71,***,***,***,***,***,***,***,***,***
YOWEST 14,3.35,4.57,1.22,36.36,4.27,0.91,27.27,***,***,***,6.40,3.05,90.91,4.57,1.22,36.36,***,***,***,***,***,***,***,***,***,4.27,0.91,27.27,***,***,***,***,***,***,***,***,***
YOWEST 15,2.67,4.00,1.33,50.00,1.33,-1.33,-50.00,***,***,***,3.67,1.00,37.50,1.33,-1.33,-50.00,***,***,***,***,***,***,***,***,***,7.34,4.67,175.00,***,***,***,***,***,***,***,***,***
YOWEST 2,0.92,0.00,-0.92,-100.00,0.00,-0.92,-100.00,***,***,***,0.92,0.00,0.00,0.00,-0.92,-100.00,***,***,***,***,***,***,***,***,***,0.92,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 3,0.00,0.91,0.91,***,1.22,1.22,***,***,***,***,0.91,0.91,***,1.52,1.52,***,0.61,0.61,***,***,***,***,***,***,***,0.30,0.30,***,***,***,***,***,***,***,***,***,***
YOWEST 4,0.00,1.57,1.57,***,0.31,0.31,***,***,***,***,0.31,0.31,***,0.94,0.94,***,1.25,1.25,***,***,***,***,***,***,***,0.63,0.63,***,***,***,***,***,***,***,***,***,***
YOWEST 5,2.15,1.23,-0.92,-42.86,0.92,-1.23,-57.14,***,***,***,2.15,0.00,0.00,1.23,-0.92,-42.86,0.92,-1.23,-57.14,***,***,***,***,***,***,0.92,-1.23,-57.14,***,***,***,***,***,***,***,***,***
YOWEST 7,0.00,0.66,0.66,***,0.00,0.00,0.00,***,***,***,***,***,***,0.66,0.66,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
20IN 1,***,0.31,***,***,***,***,***,***,***,***,0.62,***,***,***,***,***,0.92,***,***,***,***,***,***,***,***,1.23,***,***,***,***,***,***,***,***,***,***,***
20IN 10,***,2.43,***,***,***,***,***,***,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.83,***,***,1.22,***,***,***,***,***,***,***,***
20IN 11,***,3.72,***,***,***,***,***,***,***,***,4.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.65,***,***,***,***,***,***,***,***,***,***,***
20IN 12,***,2.03,***,***,***,***,***,***,***,***,0.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.04,***,***,***,***,***,***,***,***,***,***,***
20IN 13,***,0.00,***,***,***,***,***,***,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***
20IN 14,***,3.66,***,***,***,***,***,***,***,***,4.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.49,***,***,4.27,***,***,***,***,***,***,***,***
20IN 2,***,0.00,***,***,***,***,***,***,***,***,2.74,***,***,***,***,***,1.83,***,***,***,***,***,***,***,***,2.13,***,***,***,***,***,***,***,***,***,***,***
20IN 3,***,0.63,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***
20IN 4,***,4.61,***,***,***,***,***,***,***,***,0.62,***,***,***,***,***,4.31,***,***,***,***,***,***,***,***,5.23,***,***,***,***,***,***,***,***,***,***,***
20IN 5,***,3.99,***,***,***,***,***,***,***,***,0.92,***,***,***,***,***,1.53,***,***,***,***,***,***,***,***,2.15,***,***,***,***,***,***,***,***,***,***,***
20IN 6,***,7.03,***,***,***,***,***,***,***,***,2.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.14,***,***,4.58,***,***,***,***,***,***,***,***
20IN 7,***,1.86,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.10,***,***,0.31,***,***,***,***,***,***,***,***
20IN 8,***,1.29,***,***,***,***,***,***,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.23,***,***,***,***,***,***,***,***,***,***,***
20IN 9,***,3.38,***,***,***,***,***,***,***,***,2.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.77,***,***,2.15,***,***,***,***,***,***,***,***
BOFR 1,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.95,***,***,***,***,***,***,***,***,***,***,***
BOFR 10,***,0.61,***,***,***,***,***,***,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***
BOFR 11,***,9.52,***,***,***,***,***,***,***,***,5.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.30,***,***,***,***,***,***,***,***,***,***,***
BOFR 12,***,0.62,***,***,***,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.03,***,***,***,***,***,***,***,***,***,***,***
BOFR 13,***,3.39,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.62,***,***,***,***,***,***,***,***,***,***,***
