ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-71,4.56,2.12,-2.44,-53.44,1.98,-2.58,-56.63,2.33,-2.23,-48.98,2.20,-2.36,-51.69,1.04,-3.52,-77.10,***,***,***,0.00,-4.56,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-72,1.04,1.31,0.27,25.90,0.62,-0.43,-41.02,0.24,-0.81,-77.37,0.24,-0.81,-77.37,2.32,1.28,122.33,***,***,***,2.04,0.99,94.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-75,2.03,0.63,-1.41,-69.14,0.93,-1.11,-54.48,2.03,-0.01,-0.34,0.29,-1.75,-85.93,1.80,-0.24,-11.76,***,***,***,3.92,1.88,92.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,14.55,12.52,615.06,***,***,***,***,***,***,***,***,***
PIPO-13,***,3.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.55,***,***,***,***,***,0.89,***,***,***,***,***,***,***,***,0.58,***,***,0.49,***,***,0.58,***,***,0.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-18,***,4.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.80,***,***,***,***,***,0.94,***,***,***,***,***,***,***,***,0.47,***,***,0.47,***,***,0.28,***,***,0.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-19,***,10.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-20,***,6.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.09,***,***,***,***,***,2.00,***,***,2.22,***,***,2.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-02,***,***,***,***,***,***,***,7.52,***,***,2.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.67,***,***,6.34,***,***,7.33,***,***,6.62,***,***,4.38,***,***,5.24,***,***,5.14,***,***,3.97,***,***,3.38,***,***,4.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,***,***,***,***,***,***,3.07,***,***,1.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.93,***,***,2.08,***,***,1.21,***,***,1.03,***,***,1.07,***,***,0.60,***,***,0.65,***,***,1.58,***,***,0.50,***,***,0.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,***,***,***,***,***,***,10.49,***,***,8.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.78,***,***,7.79,***,***,8.49,***,***,7.32,***,***,8.17,***,***,8.38,***,***,1.14,***,***,3.47,***,***,6.92,***,***,7.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-36,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,3.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-26,***,***,***,***,***,***,***,***,***,***,4.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.89,***,***,8.94,***,***,9.12,***,***,8.29,***,***,7.41,***,***,0.00,***,***,7.27,***,***,8.74,***,***,9.27,***,***,0.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,5.59,3.58,2.01,35.99,2.95,2.65,47.32,2.61,2.98,53.33,2.69,2.90,51.83,3.06,2.53,45.20,1.61,3.98,71.19,5.05,0.54,9.63,0.96,4.63,82.85,1.11,4.48,80.11,1.05,4.55,81.31,3.07,2.52,45.14,3.59,2.00,35.77,3.94,1.65,29.46,5.00,0.59,10.53,6.57,-0.98,-17.57,3.55,2.04,36.43,3.55,2.04,36.55,4.44,1.15,20.55,5.02,0.57,10.20,3.05,2.55,45.54,4.08,1.52,27.11,8.05,-2.46,-43.93,9.22,-3.63,-64.92,8.77,-3.17,-56.77
