ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-71,2.06,0.98,-1.08,-52.54,0.94,-1.12,-54.24,3.99,1.93,94.07,1.72,-0.34,-16.53,2.28,0.23,11.02,***,***,***,1.39,-0.66,-32.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-72,0.92,0.38,-0.54,-58.49,1.11,0.18,19.81,2.17,1.25,134.91,1.42,0.50,53.77,1.15,0.23,24.53,***,***,***,1.59,0.67,72.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-75,1.06,0.97,-0.10,-9.02,1.20,0.14,13.11,1.59,0.52,49.18,1.45,0.39,36.89,0.55,-0.51,-48.36,***,***,***,0.69,-0.37,-35.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.20,1.14,107.38,***,***,***,***,***,***,***,***,***
PIPO-13,***,1.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.19,***,***,***,***,***,1.12,***,***,***,***,***,***,***,***,0.51,***,***,0.87,***,***,0.64,***,***,1.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-18,***,2.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.52,***,***,***,***,***,1.41,***,***,***,***,***,***,***,***,0.50,***,***,0.55,***,***,0.51,***,***,0.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-19,***,2.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.16,***,***,***,***,***,1.06,***,***,1.27,***,***,1.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-20,***,1.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.89,***,***,***,***,***,0.55,***,***,1.05,***,***,0.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-02,***,***,***,***,***,***,***,1.42,***,***,0.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,1.28,***,***,0.64,***,***,1.67,***,***,0.40,***,***,0.19,***,***,0.81,***,***,0.54,***,***,0.65,***,***,2.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,***,***,***,***,***,***,1.59,***,***,0.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.27,***,***,0.49,***,***,0.61,***,***,1.91,***,***,0.24,***,***,0.48,***,***,0.77,***,***,0.68,***,***,0.59,***,***,2.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,***,***,***,***,***,***,0.76,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.37,***,***,0.44,***,***,0.54,***,***,0.85,***,***,0.32,***,***,0.23,***,***,0.61,***,***,0.35,***,***,0.53,***,***,1.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-36,***,***,***,***,***,***,***,0.76,***,***,0.14,***,***,1.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.65,***,***,0.91,***,***,1.11,***,***,1.27,***,***,0.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-26,***,***,***,***,***,***,***,***,***,***,0.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,***,***,0.40,***,***,1.12,***,***,1.18,***,***,0.72,***,***,0.00,***,***,0.72,***,***,0.50,***,***,0.83,***,***,3.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.95,1.12,0.83,42.46,1.20,0.75,38.28,1.58,0.37,18.72,0.89,1.06,54.51,1.37,0.58,29.52,1.94,0.01,0.57,1.52,0.43,21.86,1.03,0.92,46.94,1.16,0.79,40.34,0.90,1.05,53.97,0.50,1.45,74.43,0.83,1.12,57.45,0.85,1.10,56.28,1.06,0.88,45.38,0.57,1.38,70.91,0.22,1.73,88.49,0.73,1.22,62.69,0.52,1.43,73.52,0.65,1.30,66.54,2.71,-0.76,-38.75,3.62,-1.67,-85.67,2.49,-0.54,-27.58,1.07,0.88,45.04,1.25,0.70,36.10
