ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-71,14.99,17.73,2.74,18.28,19.46,4.47,29.85,13.97,-1.02,-6.78,14.08,-0.91,-6.06,12.50,-2.49,-16.63,***,***,***,13.27,-1.72,-11.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-72,15.20,17.63,2.43,16.00,10.06,-5.15,-33.85,10.97,-4.23,-27.81,8.27,-6.93,-45.62,10.67,-4.53,-29.83,***,***,***,13.26,-1.94,-12.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-75,12.58,10.22,-2.36,-18.74,6.56,-6.02,-47.84,8.54,-4.04,-32.11,7.33,-5.24,-41.70,5.40,-7.17,-57.05,***,***,***,6.97,-5.61,-44.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,19.36,6.78,53.94,***,***,***,***,***,***,***,***,***
PIPO-13,***,9.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.96,***,***,***,***,***,4.40,***,***,***,***,***,***,***,***,2.30,***,***,6.27,***,***,4.43,***,***,8.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-18,***,20.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.74,***,***,***,***,***,9.66,***,***,***,***,***,***,***,***,3.50,***,***,3.72,***,***,5.21,***,***,4.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-19,***,22.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.54,***,***,***,***,***,3.06,***,***,5.82,***,***,4.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-20,***,14.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.37,***,***,***,***,***,7.34,***,***,7.82,***,***,6.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-02,***,***,***,***,***,***,***,24.43,***,***,8.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,11.46,***,***,12.33,***,***,13.73,***,***,16.30,***,***,12.48,***,***,13.62,***,***,9.98,***,***,9.66,***,***,11.29,***,***,9.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,***,***,***,***,***,***,15.72,***,***,4.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.77,***,***,7.53,***,***,7.85,***,***,6.08,***,***,4.87,***,***,4.13,***,***,3.21,***,***,3.50,***,***,2.98,***,***,5.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,***,***,***,***,***,***,19.26,***,***,12.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.53,***,***,12.71,***,***,13.67,***,***,11.00,***,***,11.83,***,***,12.87,***,***,6.80,***,***,7.39,***,***,9.96,***,***,11.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-36,***,***,***,***,***,***,***,1.84,***,***,6.78,***,***,9.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.60,***,***,2.59,***,***,4.50,***,***,3.02,***,***,8.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-26,***,***,***,***,***,***,***,***,***,***,8.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.14,***,***,11.20,***,***,14.30,***,***,12.82,***,***,17.14,***,***,8.29,***,***,9.49,***,***,10.22,***,***,13.51,***,***,11.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,25.28,14.49,10.79,42.68,14.26,11.02,43.58,11.88,13.40,53.01,11.72,13.56,53.65,14.14,11.14,44.06,9.15,16.13,63.80,16.59,8.69,34.37,6.12,19.16,75.81,6.82,18.46,73.03,5.61,19.67,77.81,7.71,17.57,69.51,7.74,17.54,69.37,9.73,15.55,61.51,9.79,15.49,61.28,12.32,12.97,51.29,9.73,15.55,61.53,7.37,17.91,70.84,7.69,17.59,69.57,9.44,15.84,62.68,10.55,14.73,58.26,20.27,5.01,19.82,41.81,-16.53,-65.37,18.70,6.58,26.04,17.10,8.18,32.34
