ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-71,6.30,12.34,6.04,95.95,13.28,6.98,110.81,7.11,0.81,12.84,8.43,2.13,33.78,6.47,0.17,2.70,***,***,***,9.49,3.19,50.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-72,10.98,14.60,3.62,32.95,7.49,-3.49,-31.78,7.66,-3.32,-30.23,5.41,-5.58,-50.78,5.32,-5.66,-51.55,***,***,***,8.30,-2.68,-24.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-75,7.32,6.13,-1.19,-16.28,2.55,-4.77,-65.12,2.38,-4.94,-67.44,4.47,-2.85,-38.95,1.02,-6.30,-86.05,***,***,***,1.79,-5.53,-75.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.98,-6.34,-86.63,***,***,***,***,***,***,***,***,***
PIPO-13,***,2.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.96,***,***,***,***,***,1.53,***,***,***,***,***,***,***,***,0.47,***,***,4.51,***,***,1.75,***,***,5.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-18,***,5.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.09,***,***,***,***,***,2.77,***,***,***,***,***,***,***,***,0.81,***,***,1.23,***,***,1.53,***,***,1.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-19,***,2.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.23,***,***,***,***,***,1.57,***,***,4.21,***,***,2.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-20,***,3.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.17,***,***,***,***,***,2.17,***,***,2.34,***,***,0.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-02,***,***,***,***,***,***,***,4.13,***,***,3.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.81,***,***,2.77,***,***,4.21,***,***,6.64,***,***,6.64,***,***,5.92,***,***,2.17,***,***,2.51,***,***,3.75,***,***,0.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,***,***,***,***,***,***,4.77,***,***,2.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.13,***,***,4.60,***,***,6.00,***,***,2.98,***,***,2.72,***,***,2.47,***,***,1.45,***,***,1.15,***,***,1.62,***,***,1.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,***,***,***,***,***,***,1.92,***,***,1.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.58,***,***,3.66,***,***,3.11,***,***,1.11,***,***,2.51,***,***,2.60,***,***,0.26,***,***,0.17,***,***,1.02,***,***,0.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-36,***,***,***,***,***,***,***,0.85,***,***,6.30,***,***,7.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.81,***,***,1.53,***,***,3.02,***,***,0.94,***,***,3.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-26,***,***,***,***,***,***,***,***,***,***,2.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.55,***,***,1.62,***,***,2.30,***,***,1.62,***,***,7.02,***,***,3.28,***,***,1.11,***,***,0.60,***,***,1.66,***,***,1.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,13.99,7.10,6.89,49.23,8.41,5.59,39.91,5.25,8.75,62.51,6.59,7.40,52.87,7.10,6.90,49.29,4.36,9.63,68.82,8.02,5.97,42.69,2.01,11.98,85.63,3.28,10.72,76.58,1.94,12.06,86.16,3.07,10.92,78.03,2.08,11.91,85.14,3.45,10.54,75.32,2.10,11.90,85.03,3.20,10.79,77.13,3.56,10.43,74.53,1.24,12.75,91.10,1.11,12.89,92.09,2.01,11.98,85.63,2.05,11.94,85.35,7.85,6.14,43.88,8.92,5.08,36.28,8.34,5.65,40.39,6.77,7.23,51.64
