ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-71,0.37,0.73,0.36,95.95,0.78,0.41,110.81,0.42,0.05,12.84,0.50,0.13,33.78,0.38,0.01,2.70,***,***,***,0.56,0.19,50.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-72,0.65,0.86,0.21,32.95,0.44,-0.21,-31.78,0.45,-0.20,-30.23,0.32,-0.33,-50.78,0.31,-0.33,-51.55,***,***,***,0.49,-0.16,-24.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-75,0.43,0.36,-0.07,-16.28,0.15,-0.28,-65.12,0.14,-0.29,-67.44,0.26,-0.17,-38.95,0.06,-0.37,-86.05,***,***,***,0.11,-0.33,-75.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.06,-0.37,-86.63,***,***,***,***,***,***,***,***,***
PIPO-13,***,0.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.47,***,***,***,***,***,0.09,***,***,***,***,***,***,***,***,0.03,***,***,0.27,***,***,0.10,***,***,0.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-18,***,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.24,***,***,***,***,***,0.16,***,***,***,***,***,***,***,***,0.05,***,***,0.07,***,***,0.09,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-19,***,0.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.19,***,***,***,***,***,0.09,***,***,0.25,***,***,0.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-20,***,0.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,***,***,***,***,***,0.13,***,***,0.14,***,***,0.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-02,***,***,***,***,***,***,***,0.24,***,***,0.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.40,***,***,0.16,***,***,0.25,***,***,0.39,***,***,0.39,***,***,0.35,***,***,0.13,***,***,0.15,***,***,0.22,***,***,0.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,***,***,***,***,***,***,0.28,***,***,0.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.36,***,***,0.27,***,***,0.35,***,***,0.18,***,***,0.16,***,***,0.15,***,***,0.09,***,***,0.07,***,***,0.10,***,***,0.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,***,***,***,***,***,***,0.11,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.21,***,***,0.22,***,***,0.18,***,***,0.07,***,***,0.15,***,***,0.15,***,***,0.02,***,***,0.01,***,***,0.06,***,***,0.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-36,***,***,***,***,***,***,***,0.05,***,***,0.37,***,***,0.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.05,***,***,0.09,***,***,0.18,***,***,0.06,***,***,0.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-26,***,***,***,***,***,***,***,***,***,***,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.15,***,***,0.10,***,***,0.14,***,***,0.10,***,***,0.41,***,***,0.19,***,***,0.07,***,***,0.04,***,***,0.10,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.82,0.42,0.40,49.23,0.49,0.33,39.91,0.31,0.51,62.51,0.39,0.43,52.87,0.42,0.41,49.29,0.26,0.57,68.82,0.47,0.35,42.69,0.12,0.70,85.63,0.19,0.63,76.58,0.11,0.71,86.16,0.18,0.64,78.03,0.12,0.70,85.14,0.20,0.62,75.32,0.12,0.70,85.03,0.19,0.63,77.13,0.21,0.61,74.53,0.07,0.75,91.10,0.07,0.76,92.09,0.12,0.70,85.63,0.12,0.70,85.35,0.46,0.36,43.88,0.52,0.30,36.28,0.49,0.33,40.39,0.40,0.42,51.64
