ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-09,0.93,0.31,-0.62,-66.68,0.68,-0.25,-26.68,0.31,-0.62,-66.66,0.25,-0.68,-73.32,1.80,0.87,93.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.00,0.06,6.70,1.24,0.31,33.36,0.62,-0.31,-33.29,1.55,0.62,66.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.75,0.82,87.96,***,***,***,0.99,0.06,6.67,***,***,***,***,***,***
PIPO-22,0.06,0.00,-0.06,-100.00,0.12,0.06,99.98,0.00,-0.06,-100.00,0.19,0.12,199.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.25,0.19,299.93,***,***,***,0.00,-0.06,-100.00,0.06,0.00,0.00,0.00,-0.06,-100.00
PIPO-37,0.50,***,***,***,***,***,***,0.37,-0.12,-25.00,0.81,0.31,62.50,0.12,-0.37,-75.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.19,-0.31,-62.50,0.50,0.00,0.00,0.69,0.19,37.50,0.94,0.44,87.50,1.75,1.25,250.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-44,0.25,***,***,***,***,***,***,0.37,0.12,50.00,0.56,0.31,125.00,0.37,0.12,50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.12,-0.12,-50.00,0.12,-0.12,-50.00,0.12,-0.12,-50.00,0.74,0.50,200.00,1.92,1.68,675.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-45,0.25,***,***,***,***,***,***,0.37,0.12,50.03,0.19,-0.06,-25.00,0.62,0.37,150.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.43,0.19,75.00,0.31,0.06,25.00,0.68,0.43,175.01,0.62,0.37,150.01,0.25,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,0.37,***,***,***,***,***,***,0.31,-0.06,-16.67,0.56,0.19,50.00,0.12,-0.25,-66.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.93,0.56,150.00,0.81,0.43,116.67,0.25,-0.12,-33.33,0.25,-0.12,-33.33,1.12,0.74,200.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-50,0.00,***,***,***,***,***,***,0.38,0.38,***,0.50,0.50,***,1.43,1.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.75,0.75,***,1.24,1.24,***,1.06,1.06,***,0.93,0.93,***,0.81,0.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-67,1.12,0.43,-0.68,-61.09,0.37,-0.74,-66.65,0.19,-0.93,-83.33,0.31,-0.81,-72.22,1.12,0.00,0.01,***,***,***,0.56,-0.56,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.62,-0.50,-44.44,***,***,***,***,***,***,***,***,***
PIPO-68,0.69,0.25,-0.44,-63.76,0.63,-0.06,-9.01,0.44,-0.25,-36.41,0.56,-0.13,-18.42,1.06,0.38,54.58,***,***,***,0.44,-0.25,-36.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.50,-0.19,-27.23,***,***,***,***,***,***,***,***,***
PIPO-69,0.62,0.81,0.19,29.99,0.68,0.06,10.01,0.62,0.00,0.00,0.25,-0.37,-60.00,3.66,3.04,489.92,***,***,***,1.37,0.74,119.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
