ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-09,1.24,0.62,-0.62,-50.05,0.62,-0.62,-50.05,0.31,-0.93,-75.02,0.31,-0.93,-75.02,1.24,0.00,0.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.24,0.00,0.00,2.79,1.55,125.04,2.48,1.24,100.04,1.86,0.62,50.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.82,0.58,46.82,***,***,***,4.96,3.72,299.89,***,***,***,***,***,***
PIPO-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,0.31,0.31,***,0.00,0.00,0.00,0.31,0.31,***
PIPO-37,0.62,***,***,***,***,***,***,0.62,0.00,0.00,0.62,0.00,0.00,0.31,-0.31,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.62,0.00,0.00,0.00,-0.62,-100.00,0.62,0.00,0.00,0.31,-0.31,-50.00,0.62,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-44,1.24,***,***,***,***,***,***,0.31,-0.93,-75.00,0.62,-0.62,-50.00,0.62,-0.62,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.31,-0.93,-75.00,0.00,-1.24,-100.00,0.00,-1.24,-100.00,0.31,-0.93,-75.00,0.62,-0.62,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-45,1.24,***,***,***,***,***,***,0.31,-0.93,-74.99,0.93,-0.31,-24.98,0.62,-0.62,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.31,-0.93,-74.99,0.62,-0.62,-50.00,0.31,-0.93,-75.00,0.31,-0.93,-75.00,0.31,-0.93,-74.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,0.62,***,***,***,***,***,***,0.00,-0.62,-100.00,0.31,-0.31,-50.00,0.00,-0.62,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.62,-100.00,0.00,-0.62,-100.00,0.00,-0.62,-100.00,0.31,-0.31,-50.00,0.31,-0.31,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-50,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,1.86,1.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.57,1.57,***,1.88,1.88,***,1.88,1.88,***,4.03,4.03,***,5.28,5.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-67,0.31,0.00,-0.31,-100.00,0.00,-0.31,-100.00,0.00,-0.31,-100.00,0.31,0.00,0.10,0.62,0.31,100.08,***,***,***,0.31,0.00,-0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.62,0.31,99.96,***,***,***,***,***,***,***,***,***
PIPO-68,0.31,0.94,0.63,200.00,0.00,-0.31,-100.00,0.00,-0.31,-100.00,0.31,0.00,-1.09,0.00,-0.31,-100.00,***,***,***,0.00,-0.31,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.63,0.31,100.00,***,***,***,***,***,***,***,***,***
PIPO-69,1.24,1.24,0.00,0.00,0.93,-0.31,-25.00,0.62,-0.62,-50.00,0.31,-0.93,-75.00,0.00,-1.24,-100.00,***,***,***,0.93,-0.31,-24.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
