ProjectUnit = FPIJE1D09
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Yr17-Attr,00Yr17-Diff,00Yr17-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,01Yr13-Attr,01Yr13-Diff,01Yr13-%Diff,01Yr14-Attr,01Yr14-Diff,01Yr14-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff,02Yr03-Attr,02Yr03-Diff,02Yr03-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff
B:FPIJE1D09:03,1.35,0.81,-0.54,-39.93,0.59,-0.76,-56.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIJE1D09:01,***,0.35,***,***,***,***,***,0.30,***,***,0.30,***,***,0.82,***,***,0.72,***,***,***,***,***,0.29,***,***,***,***,***,***,***,***,0.05,***,***,0.37,***,***,0.41,***,***,***,***,***,***,***,***
B:FPIJE1D09:02,***,1.23,***,***,***,***,***,0.29,***,***,0.29,***,***,0.59,***,***,0.77,***,***,***,***,***,0.93,***,***,***,***,***,***,***,***,0.07,***,***,0.18,***,***,0.53,***,***,***,***,***,***,***,***
B:FPIJE1D09:04,***,1.63,***,***,***,***,***,***,***,***,1.79,***,***,1.27,***,***,0.70,***,***,***,***,***,0.11,***,***,***,***,***,1.25,***,***,0.58,***,***,***,***,***,***,***,***,0.50,***,***,0.62,***,***
B:FPIJE1D09:06,***,3.77,***,***,***,***,***,0.61,***,***,0.98,***,***,0.56,***,***,0.25,***,***,1.20,***,***,***,***,***,0.70,***,***,***,***,***,***,***,***,***,***,***,0.35,***,***,***,***,***,***,***,***
B:FPIJE1D09:09,***,1.35,***,***,***,***,***,***,***,***,1.07,***,***,1.06,***,***,0.85,***,***,***,***,***,0.73,***,***,***,***,***,0.97,***,***,0.33,***,***,***,***,***,***,***,***,0.56,***,***,0.61,***,***
B:FPIJE1D09:13,***,1.89,***,***,***,***,***,0.00,***,***,0.32,***,***,0.32,***,***,0.54,***,***,0.85,***,***,***,***,***,***,***,***,***,***,***,0.58,***,***,***,***,***,***,***,***,0.68,***,***,0.36,***,***
Mean,1.35,1.57,-0.22,-16.37,0.59,0.76,56.38,0.30,1.05,77.77,0.79,0.56,41.47,0.77,0.58,43.22,0.64,0.72,52.90,1.03,0.33,24.21,0.52,0.84,61.88,0.70,0.65,48.06,1.11,0.24,17.84,0.32,1.03,76.34,0.28,1.08,79.67,0.43,0.93,68.39,0.58,0.77,56.99,0.53,0.82,60.86
