ProjectUnit = FPIJE1D09
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Yr17-Attr,00Yr17-Diff,00Yr17-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,01Yr13-Attr,01Yr13-Diff,01Yr13-%Diff,01Yr14-Attr,01Yr14-Diff,01Yr14-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff,02Yr03-Attr,02Yr03-Diff,02Yr03-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff
B:FPIJE1D09:03,0.31,0.87,0.56,182.11,1.21,0.91,294.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIJE1D09:01,***,2.01,***,***,***,***,***,0.32,***,***,0.32,***,***,0.24,***,***,0.04,***,***,***,***,***,0.51,***,***,***,***,***,***,***,***,0.16,***,***,0.15,***,***,0.27,***,***,***,***,***,***,***,***
B:FPIJE1D09:02,***,1.53,***,***,***,***,***,0.44,***,***,0.44,***,***,0.16,***,***,0.02,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,0.20,***,***,0.18,***,***,0.36,***,***,***,***,***,***,***,***
B:FPIJE1D09:04,***,0.73,***,***,***,***,***,***,***,***,0.78,***,***,0.25,***,***,0.23,***,***,***,***,***,0.73,***,***,***,***,***,0.38,***,***,0.68,***,***,***,***,***,***,***,***,0.25,***,***,0.16,***,***
B:FPIJE1D09:06,***,1.18,***,***,***,***,***,0.09,***,***,0.10,***,***,0.30,***,***,1.12,***,***,0.23,***,***,***,***,***,0.19,***,***,***,***,***,***,***,***,***,***,***,0.49,***,***,***,***,***,***,***,***
B:FPIJE1D09:09,***,0.95,***,***,***,***,***,***,***,***,0.66,***,***,0.75,***,***,0.51,***,***,***,***,***,0.42,***,***,***,***,***,0.52,***,***,0.69,***,***,***,***,***,***,***,***,0.21,***,***,0.56,***,***
B:FPIJE1D09:13,***,1.23,***,***,***,***,***,0.00,***,***,0.04,***,***,0.03,***,***,0.11,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.05,***,***,***,***,***,***,***,***,0.08,***,***,0.04,***,***
Mean,0.31,1.21,-0.91,-294.43,1.21,-0.91,-294.31,0.21,0.10,31.71,0.39,-0.08,-26.02,0.29,0.02,5.83,0.34,-0.03,-9.49,0.12,0.19,62.20,0.49,-0.18,-58.94,0.19,0.12,39.02,0.45,-0.14,-44.72,0.36,-0.05,-15.61,0.17,0.14,46.34,0.38,-0.07,-21.95,0.18,0.13,42.01,0.26,0.05,16.63
