ProjectUnit = FSAGE1D06
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FSAGE1D06:51,0.22,0.00,-0.22,-100.00,0.00,-0.22,-100.00,0.00,-0.22,-100.00,0.00,-0.22,-100.00
B:FSAGE1D06:52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B:FSAGE1D06:55,0.22,1.14,0.91,408.32,2.33,2.11,940.58,0.37,0.15,66.49,0.72,0.49,219.88
C:FSAGE1D06:56,0.00,***,***,***,***,***,***,***,***,***,***,***,***
C:FSAGE1D06:57,0.00,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.09,0.38,-0.29,-323.73,0.78,-0.69,-767.41,0.12,-0.03,-38.79,0.24,-0.15,-166.64
