ProjectUnit = FSAGE1D06
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FSAGE1D06:51,4.72,0.15,-4.57,-96.83,0.05,-4.67,-98.94,0.02,-4.69,-99.47,0.30,-4.42,-93.65
B:FSAGE1D06:52,1.72,0.57,-1.15,-66.67,0.90,-0.82,-47.83,1.47,-0.25,-14.49,0.30,-1.42,-82.61
B:FSAGE1D06:55,1.60,0.92,-0.67,-42.19,0.87,-0.72,-45.31,1.95,0.35,21.88,2.72,1.12,70.31
C:FSAGE1D06:56,2.70,***,***,***,***,***,***,***,***,***,***,***,***
C:FSAGE1D06:57,1.80,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.51,0.55,1.96,78.09,0.61,1.90,75.76,1.15,1.36,54.18,1.11,1.40,55.84
