ProjectUnit = FSAGE1D06
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FSAGE1D06:51,0.07,0.01,-0.06,-88.23,0.03,-0.04,-58.85,0.10,0.03,47.06,0.17,0.10,153.07
B:FSAGE1D06:52,0.04,0.14,0.10,227.65,0.02,-0.03,-63.57,0.17,0.12,282.43,0.00,-0.04,-100.00
B:FSAGE1D06:55,0.09,0.17,0.08,91.43,0.09,0.00,-4.29,0.08,-0.02,-17.26,0.03,-0.06,-65.14
C:FSAGE1D06:56,0.02,***,***,***,***,***,***,***,***,***,***,***,***
C:FSAGE1D06:57,0.06,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.06,0.11,-0.05,-92.66,0.04,0.01,22.50,0.11,-0.06,-102.15,0.07,-0.01,-19.85
