ProjectUnit = FSAGE1D06
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FSAGE1D06:51,0.27,0.04,-0.23,-86.92,0.19,-0.08,-28.97,0.46,0.19,71.96,0.14,-0.13,-48.60
B:FSAGE1D06:52,0.14,0.10,-0.04,-26.79,0.24,0.10,69.64,0.55,0.41,294.64,0.15,0.00,3.57
B:FSAGE1D06:55,0.28,0.13,-0.15,-54.55,0.38,0.11,39.09,0.40,0.12,43.64,0.04,-0.23,-84.55
C:FSAGE1D06:56,0.29,***,***,***,***,***,***,***,***,***,***,***,***
C:FSAGE1D06:57,0.24,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.24,0.09,0.15,63.69,0.27,-0.03,-12.03,0.47,-0.23,-94.67,0.11,0.13,55.05
