ProjectUnit = BARPA1X06
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr06-Attr,00Yr06-Diff,00Yr06-%Diff,Thin01Post-Attr,Thin01Post-Diff,Thin01Post-%Diff,01Yr07-Attr,01Yr07-Diff,01Yr07-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff
B:BARPA1X06:01,1.69,***,***,***,1.53,-0.16,-9.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:02,1.36,1.39,0.03,2.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:03,2.74,***,***,***,1.63,-1.11,-40.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:04,2.52,3.30,0.78,30.95,***,***,***,***,***,***,***,***,***,***,***,***,2.08,-0.44,-17.46,***,***,***
B:BARPA1X06:05,2.66,2.34,-0.32,-12.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:06,2.03,***,***,***,1.82,-0.21,-10.12,***,***,***,***,***,***,***,***,***,2.16,0.14,6.67,***,***,***
B:BARPA1X06:07,2.43,2.10,-0.33,-13.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:08,1.77,1.89,0.12,6.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:09,0.99,1.85,0.86,86.87,***,***,***,0.00,-0.99,-100.00,***,***,***,***,***,***,0.43,-0.57,-57.07,***,***,***
B:BARPA1X06:10,0.46,0.99,0.53,115.22,***,***,***,***,***,***,***,***,***,***,***,***,0.48,0.02,4.35,***,***,***
B:BARPA1X06:11,0.14,0.42,0.28,200.00,***,***,***,***,***,***,***,***,***,***,***,***,0.13,-0.01,-7.14,***,***,***
B:BARPA1X06:12,0.74,0.95,0.21,28.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:13,2.34,3.43,1.09,46.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.98,-0.36,-15.38
B:BARPA1X06:14,1.41,2.09,0.68,48.23,***,***,***,***,***,***,***,***,***,***,***,***,1.13,-0.28,-19.86,***,***,***
B:BARPA1X06:15,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.22,***,***,***,***,***,***,***,***
B:BARPA1X06:16,***,***,***,***,***,***,***,***,***,***,0.34,***,***,0.30,***,***,***,***,***,***,***,***
B:BARPA1X06:17,***,***,***,***,***,***,***,***,***,***,0.85,***,***,0.69,***,***,***,***,***,***,***,***
Mean,1.66,1.89,-0.22,-13.44,1.66,0.00,0.17,0.00,1.66,100.00,0.40,1.27,76.15,0.40,1.26,75.74,1.07,0.60,35.80,1.98,-0.32,-19.07
