ProjectUnit = BARPA1X06
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr06-Attr,00Yr06-Diff,00Yr06-%Diff,Thin01Post-Attr,Thin01Post-Diff,Thin01Post-%Diff,01Yr07-Attr,01Yr07-Diff,01Yr07-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff
B:BARPA1X06:01,1.76,***,***,***,2.14,0.38,21.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:02,1.84,1.84,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:03,1.43,***,***,***,1.97,0.54,37.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:04,6.69,2.74,-3.95,-59.09,***,***,***,***,***,***,***,***,***,***,***,***,3.95,-2.74,-40.91,***,***,***
B:BARPA1X06:05,0.61,1.85,1.24,203.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:06,2.06,***,***,***,5.18,3.12,150.96,***,***,***,***,***,***,***,***,***,9.44,7.38,357.63,***,***,***
B:BARPA1X06:07,1.54,4.61,3.07,200.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:08,6.69,10.95,4.26,63.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:09,3.71,2.48,-1.24,-33.33,***,***,***,0.00,-3.71,-100.00,***,***,***,***,***,***,0.62,-3.10,-83.33,***,***,***
B:BARPA1X06:10,2.74,0.30,-2.43,-88.89,***,***,***,***,***,***,***,***,***,***,***,***,2.43,-0.30,-11.11,***,***,***
B:BARPA1X06:11,2.47,1.54,-0.93,-37.50,***,***,***,***,***,***,***,***,***,***,***,***,1.85,-0.62,-25.00,***,***,***
B:BARPA1X06:12,3.35,2.74,-0.61,-18.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:13,2.44,4.87,2.44,100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.91,-1.52,-62.50
B:BARPA1X06:14,3.35,3.04,-0.30,-9.09,***,***,***,***,***,***,***,***,***,***,***,***,3.65,0.30,9.09,***,***,***
B:BARPA1X06:15,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
B:BARPA1X06:16,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.61,***,***,***,***,***,***,***,***
B:BARPA1X06:17,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.62,***,***,***,***,***,***,***,***
Mean,2.90,3.36,-0.46,-15.67,3.09,-0.19,-6.55,0.00,2.90,100.00,0.21,2.70,92.93,0.41,2.50,85.92,3.66,-0.75,-25.97,0.91,1.99,68.55
