ProjectUnit = BARPA1X06
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr06-Attr,00Yr06-Diff,00Yr06-%Diff,Thin01Post-Attr,Thin01Post-Diff,Thin01Post-%Diff,01Yr07-Attr,01Yr07-Diff,01Yr07-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff
B:BARPA1X06:01,0.25,***,***,***,0.21,-0.04,-17.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:02,0.42,0.14,-0.27,-65.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:03,0.55,***,***,***,0.24,-0.31,-56.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:04,0.06,0.19,0.13,200.00,***,***,***,***,***,***,***,***,***,***,***,***,0.65,0.59,925.00,***,***,***
B:BARPA1X06:05,0.06,0.27,0.21,329.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:06,0.38,***,***,***,0.43,0.05,14.57,***,***,***,***,***,***,***,***,***,1.07,0.69,184.31,***,***,***
B:BARPA1X06:07,0.22,0.32,0.10,42.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:08,0.37,0.11,-0.25,-69.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:09,0.65,0.86,0.21,32.50,***,***,***,0.00,-0.65,-100.00,***,***,***,***,***,***,0.13,-0.52,-80.00,***,***,***
B:BARPA1X06:10,0.72,0.81,0.10,13.33,***,***,***,***,***,***,***,***,***,***,***,***,0.56,-0.16,-22.22,***,***,***
B:BARPA1X06:11,0.03,0.02,-0.02,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,0.45,0.42,1300.00,***,***,***
B:BARPA1X06:12,0.25,0.16,-0.10,-37.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:13,0.16,0.06,-0.10,-60.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.87,0.72,450.00
B:BARPA1X06:14,0.21,0.00,-0.21,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,0.17,-0.03,-15.38,***,***,***
B:BARPA1X06:15,***,***,***,***,***,***,***,***,***,***,0.05,***,***,0.05,***,***,***,***,***,***,***,***
B:BARPA1X06:16,***,***,***,***,***,***,***,***,***,***,0.03,***,***,0.05,***,***,***,***,***,***,***,***
B:BARPA1X06:17,***,***,***,***,***,***,***,***,***,***,0.03,***,***,0.03,***,***,***,***,***,***,***,***
Mean,0.31,0.27,0.04,13.21,0.29,0.02,5.28,0.00,0.31,100.00,0.04,0.27,87.82,0.04,0.27,86.13,0.50,-0.20,-63.61,0.87,-0.57,-183.52
