ProjectUnit = PIPO1T09
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR2-Attr,03YEAR2-Diff,03YEAR2-%Diff,03YEAR5-Attr,03YEAR5-Diff,03YEAR5-%Diff,TREESAPR2005-Attr,TREESAPR2005-Diff,TREESAPR2005-%Diff,TREESSEPT2009-Attr,TREESSEPT2009-Diff,TREESSEPT2009-%Diff
B_FPIPO1T09_01,0.51,0.32,-0.20,-38.24,0.15,-0.36,-70.10,0.18,-0.33,-64.22,0.00,-0.51,-100.00,0.03,-0.48,-94.61,0.09,-0.42,-82.35,0.12,-0.40,-77.45,0.04,-0.47,-92.16,0.00,-0.51,-100.00,0.07,-0.45,-87.25,0.04,-0.48,-93.14,***,***,***
B_FPIPO1T09_02,0.28,0.16,-0.12,-42.48,0.03,-0.26,-90.27,0.19,-0.10,-33.63,0.04,-0.24,-85.84,0.00,-0.28,-99.12,0.00,-0.28,-99.12,0.06,-0.22,-78.76,0.02,-0.26,-92.04,0.00,-0.28,-100.00,0.00,-0.28,-100.00,0.03,-0.25,-88.50,***,***,***
B_FPIPO1T09_03,1.07,0.33,-0.74,-69.23,0.22,-0.86,-79.95,0.38,-0.70,-64.80,0.05,-1.03,-95.57,0.15,-0.92,-85.78,0.00,-1.07,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,0.06,-1.02,-94.87,0.04,-1.03,-96.27
Mean,0.62,0.27,0.35,56.70,0.13,0.49,78.82,0.25,0.37,59.92,0.03,0.59,95.31,0.06,0.56,90.21,0.03,0.59,95.04,0.09,0.53,85.92,0.03,0.59,94.97,0.00,0.62,100.00,0.03,0.59,94.77,0.04,0.58,93.43,0.04,0.58,93.57
