ProjectUnit = PIPO1T09
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR2-Attr,03YEAR2-Diff,03YEAR2-%Diff,03YEAR5-Attr,03YEAR5-Diff,03YEAR5-%Diff,TREESAPR2005-Attr,TREESAPR2005-Diff,TREESAPR2005-%Diff,TREESSEPT2009-Attr,TREESSEPT2009-Diff,TREESSEPT2009-%Diff
B_FPIPO1T09_01,0.00,0.04,0.04,***,0.00,0.00,***,0.05,0.05,***,0.01,0.01,***,0.04,0.04,***,0.03,0.03,***,0.28,0.28,***,0.08,0.08,***,0.06,0.06,***,0.14,0.14,***,0.14,0.14,***,***,***,***
B_FPIPO1T09_02,0.06,0.02,-0.04,-64.28,0.00,-0.05,-92.85,0.01,-0.04,-78.55,0.03,-0.03,-49.98,0.07,0.01,21.54,0.02,-0.04,-71.41,0.17,0.12,207.47,0.06,0.00,7.31,0.00,-0.05,-92.85,0.20,0.15,264.73,0.07,0.02,28.74,***,***,***
B_FPIPO1T09_03,0.03,0.04,0.01,42.29,0.02,-0.01,-28.96,0.02,0.00,-14.63,0.00,-0.02,-85.78,0.01,-0.02,-57.35,0.00,-0.02,-85.72,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.03,-100.00,0.18,0.16,557.50
Mean,0.03,0.03,-0.01,-18.92,0.01,0.02,66.72,0.03,0.00,0.15,0.01,0.01,52.44,0.04,-0.01,-42.70,0.02,0.01,42.89,0.22,-0.20,-706.02,0.07,-0.04,-149.78,0.03,-0.01,-21.22,0.17,-0.14,-513.71,0.07,-0.04,-147.43,0.18,-0.16,-559.83
