ProjectUnit = PIPO1T09
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR2-Attr,03YEAR2-Diff,03YEAR2-%Diff,03YEAR5-Attr,03YEAR5-Diff,03YEAR5-%Diff,TREESAPR2005-Attr,TREESAPR2005-Diff,TREESAPR2005-%Diff,TREESSEPT2009-Attr,TREESSEPT2009-Diff,TREESSEPT2009-%Diff
B_FPIPO1T09_01,5.09,3.14,-1.95,-38.24,1.52,-3.57,-70.10,1.82,-3.27,-64.22,0.00,-5.09,-100.00,0.27,-4.82,-94.61,0.90,-4.19,-82.35,1.15,-3.94,-77.45,0.40,-4.69,-92.16,0.00,-5.09,-100.00,0.65,-4.44,-87.25,0.35,-4.74,-93.14,***,***,***
B_FPIPO1T09_02,2.82,1.62,-1.20,-42.48,0.27,-2.55,-90.27,1.87,-0.95,-33.63,0.40,-2.42,-85.84,0.02,-2.80,-99.12,0.02,-2.80,-99.12,0.60,-2.22,-78.76,0.22,-2.60,-92.04,0.00,-2.82,-100.00,0.00,-2.82,-100.00,0.32,-2.50,-88.50,***,***,***
B_FPIPO1T09_03,10.71,3.29,-7.41,-69.23,2.15,-8.56,-79.95,3.77,-6.94,-64.80,0.47,-10.23,-95.57,1.52,-9.18,-85.78,0.00,-10.71,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,0.55,-10.16,-94.87,0.40,-10.31,-96.27
Mean,6.21,2.69,3.52,56.70,1.31,4.89,78.82,2.49,3.72,59.92,0.29,5.91,95.31,0.61,5.60,90.21,0.31,5.90,95.04,0.87,5.33,85.92,0.31,5.89,94.97,0.00,6.21,100.00,0.32,5.88,94.77,0.41,5.80,93.43,0.40,5.81,93.57
