ProjectUnit = PIPO1T09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR2-Attr,03YEAR2-Diff,03YEAR2-%Diff,03YEAR5-Attr,03YEAR5-Diff,03YEAR5-%Diff,TREESAPR2005-Attr,TREESAPR2005-Diff,TREESAPR2005-%Diff,TREESSEPT2009-Attr,TREESSEPT2009-Diff,TREESSEPT2009-%Diff
B_FPIPO1T09_01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.41,***,0.00,0.00,0.00,0.00,0.00,0.00,31.46,31.46,***,32.20,32.20,***,30.71,30.71,***,18.33,18.33,***,3.30,3.30,***,***,***,***
B_FPIPO1T09_02,0.66,0.29,-0.37,-56.57,0.73,0.07,10.53,0.71,0.05,7.97,0.25,-0.40,-61.45,1.50,0.84,127.26,0.43,-0.22,-34.12,6.67,6.02,914.11,5.69,5.03,764.51,5.71,5.05,767.07,2.94,2.28,346.32,5.32,4.66,708.14,***,***,***
B_FPIPO1T09_03,1.84,2.27,0.44,23.87,2.26,0.43,23.19,3.02,1.18,64.23,0.36,-1.48,-80.58,0.38,-1.46,-79.57,0.34,-1.50,-81.56,***,***,***,***,***,***,***,***,***,***,***,***,5.21,3.37,183.59,12.02,10.18,554.45
Mean,0.83,0.85,-0.02,-2.65,1.00,-0.17,-19.85,1.24,-0.41,-49.39,0.34,0.49,59.06,0.62,0.21,24.99,0.26,0.57,69.04,19.07,-18.24,-2193.44,18.95,-18.11,-2178.62,18.21,-17.38,-2090.18,10.63,-9.80,-1178.68,4.61,-3.78,-454.34,12.02,-11.19,-1345.27
