ProjectUnit = PIPO1T09
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR2-Attr,03YEAR2-Diff,03YEAR2-%Diff,03YEAR5-Attr,03YEAR5-Diff,03YEAR5-%Diff,TREESAPR2005-Attr,TREESAPR2005-Diff,TREESAPR2005-%Diff,TREESSEPT2009-Attr,TREESSEPT2009-Diff,TREESSEPT2009-%Diff
B_FPIPO1T09_01,0.91,0.45,-0.45,-50.00,0.21,-0.70,-76.80,0.48,-0.43,-47.24,0.53,-0.38,-41.99,0.40,-0.51,-56.35,0.32,-0.59,-64.92,0.18,-0.72,-79.83,0.23,-0.67,-74.31,0.21,-0.70,-77.35,0.23,-0.68,-74.86,0.19,-0.71,-78.73,***,***,***
B_FPIPO1T09_02,0.66,0.34,-0.32,-48.67,0.26,-0.40,-60.46,0.46,-0.20,-29.66,0.24,-0.42,-63.12,0.19,-0.47,-70.72,0.09,-0.57,-86.31,0.15,-0.51,-77.19,0.16,-0.50,-76.05,0.12,-0.54,-82.51,0.37,-0.29,-43.35,0.10,-0.56,-85.17,***,***,***
B_FPIPO1T09_03,1.47,0.42,-1.05,-71.43,0.21,-1.26,-85.71,0.67,-0.80,-54.59,0.37,-1.11,-75.17,0.33,-1.14,-77.38,0.27,-1.21,-81.97,***,***,***,***,***,***,***,***,***,***,***,***,0.14,-1.34,-90.82,0.34,-1.13,-76.70
Mean,1.01,0.40,0.61,60.10,0.23,0.78,77.58,0.54,0.48,46.99,0.38,0.63,62.65,0.31,0.70,69.66,0.22,0.79,77.82,0.17,0.84,83.55,0.20,0.82,80.71,0.16,0.85,84.17,0.30,0.71,70.32,0.14,0.87,85.99,0.34,0.67,66.12
