ProjectUnit = Pinyon Juniper
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
JUOS-50,0.35,0.08,-0.27,-77.30,0.34,-0.02,-4.96,0.29,-0.06,-17.73,0.54,0.19,53.19,0.36,0.00,0.71,0.54,0.19,53.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-51,0.42,0.46,0.04,8.93,0.52,0.10,24.40,0.51,0.09,21.43,0.41,-0.01,-2.98,***,***,***,***,***,***,0.36,-0.06,-14.29,0.19,-0.24,-55.95,0.18,-0.24,-56.55,0.38,-0.05,-10.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-52,0.75,0.42,-0.33,-44.19,0.38,-0.37,-49.17,0.40,-0.36,-47.18,0.40,-0.35,-46.51,0.37,-0.39,-51.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-53,0.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.87,0.19,28.15,0.63,-0.05,-7.04,0.89,0.21,31.11,0.32,-0.36,-53.33,0.41,-0.26,-38.89
JUOS-54,0.62,0.39,-0.24,-37.90,0.39,-0.23,-37.10,0.25,-0.37,-59.27,0.70,0.08,12.90,0.60,-0.02,-3.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-55,0.45,0.32,-0.13,-27.93,0.38,-0.07,-15.64,0.19,-0.26,-56.98,0.23,-0.22,-48.60,0.48,0.03,6.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-63,0.39,0.02,-0.37,-94.27,0.05,-0.34,-87.26,0.06,-0.34,-85.99,0.18,-0.22,-55.41,0.29,-0.11,-26.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.62,0.23,57.32,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-64,0.36,0.47,0.11,31.47,0.21,-0.15,-42.66,***,***,***,***,***,***,0.83,0.48,132.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.50,0.31,0.19,38.63,0.32,0.18,35.64,0.28,0.22,43.66,0.41,0.09,18.52,0.49,0.02,3.13,0.54,-0.04,-8.03,0.36,0.14,28.31,0.19,0.32,63.16,0.18,0.32,63.66,0.38,0.13,25.33,0.74,-0.24,-47.60,0.63,-0.13,-24.95,0.89,-0.38,-76.23,0.32,0.19,37.27,0.41,0.09,17.86
