ProjectUnit = Pinyon Juniper
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
JUOS-50,1.08,0.95,-0.14,-12.70,0.50,-0.59,-54.27,0.43,-0.65,-60.05,0.21,-0.87,-80.60,0.14,-0.95,-87.53,0.40,-0.69,-63.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-51,0.04,0.14,0.11,280.00,0.07,0.03,86.67,0.15,0.11,300.00,0.01,-0.03,-73.33,***,***,***,***,***,***,0.11,0.07,186.67,0.12,0.08,206.67,0.10,0.07,173.33,0.01,-0.03,-86.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-52,0.59,0.32,-0.27,-45.57,0.14,-0.46,-76.79,0.24,-0.36,-59.92,0.31,-0.29,-48.10,0.26,-0.34,-56.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-53,0.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.63,0.45,240.54,0.81,0.62,335.14,0.67,0.48,260.81,0.52,0.34,182.43,0.17,-0.02,-10.81
JUOS-54,1.15,0.24,-0.92,-79.39,0.21,-0.94,-81.56,0.75,-0.40,-34.71,0.19,-0.96,-83.51,0.42,-0.73,-63.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-55,0.20,0.29,0.09,47.44,0.27,0.07,37.18,0.36,0.17,85.90,0.06,-0.14,-71.79,0.16,-0.04,-20.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-63,0.88,0.17,-0.71,-80.86,0.00,-0.88,-100.00,0.00,-0.88,-100.00,0.04,-0.84,-95.71,0.11,-0.77,-87.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.42,-0.46,-52.29,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-64,1.01,0.64,-0.37,-36.72,0.18,-0.83,-82.38,***,***,***,***,***,***,0.47,-0.54,-53.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.64,0.39,0.25,38.93,0.19,0.45,69.69,0.32,0.32,49.68,0.14,0.51,78.94,0.26,0.38,59.82,0.40,0.24,37.98,0.11,0.53,83.23,0.12,0.53,82.06,0.10,0.54,84.01,0.01,0.64,99.22,0.52,0.12,18.28,0.81,-0.16,-25.60,0.67,-0.03,-4.14,0.52,0.12,18.48,0.17,0.48,74.26
