ProjectUnit = Pinyon Juniper
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
JUOS-50,0.00,0.65,0.65,***,0.00,0.00,0.00,0.00,0.00,0.00,7.35,7.35,***,5.27,5.27,***,6.05,6.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-51,1.20,1.44,0.24,19.96,0.83,-0.37,-30.71,1.84,0.64,53.59,1.23,0.03,2.90,***,***,***,***,***,***,1.25,0.05,4.50,1.32,0.13,10.56,0.77,-0.43,-35.49,1.25,0.05,4.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-53,8.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,13.30,4.98,59.75,3.70,-4.63,-55.58,12.63,4.30,51.67,10.71,2.39,28.68,4.82,-3.51,-42.14
JUOS-54,0.57,0.52,-0.05,-8.33,0.59,0.02,4.30,0.69,0.13,22.41,0.52,-0.05,-8.33,0.89,0.32,56.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.82,2.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-64,0.94,2.70,1.76,187.72,1.21,0.27,28.41,***,***,***,***,***,***,0.85,-0.09,-9.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.38,0.76,0.62,45.00,0.38,1.00,72.78,0.42,0.96,69.39,1.52,-0.14,-10.01,1.64,-0.26,-18.78,6.05,-4.68,-339.12,1.25,0.13,9.18,1.32,0.05,3.92,0.77,0.61,43.93,1.25,0.13,9.18,6.65,-5.27,-382.38,3.70,-2.32,-168.23,12.63,-11.25,-815.97,10.71,-9.34,-677.11,4.82,-3.44,-249.44
