ProjectUnit = Pinyon Juniper
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
JUOS-50,23.18,20.24,-2.94,-12.70,10.60,-12.58,-54.27,9.26,-13.92,-60.05,4.50,-18.69,-80.60,2.89,-20.29,-87.53,8.51,-14.67,-63.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-51,0.80,3.05,2.25,280.00,1.50,0.70,86.67,3.21,2.41,300.00,0.21,-0.59,-73.33,***,***,***,***,***,***,2.30,1.50,186.67,2.46,1.66,206.67,2.20,1.39,173.33,0.11,-0.70,-86.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-52,12.69,6.91,-5.78,-45.57,2.94,-9.74,-76.79,5.09,-7.60,-59.92,6.59,-6.10,-48.10,5.49,-7.20,-56.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-53,3.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,13.49,9.53,240.54,17.24,13.28,335.14,14.30,10.33,260.81,11.19,7.23,182.43,3.53,-0.43,-10.81
JUOS-54,24.68,5.09,-19.60,-79.39,4.55,-20.13,-81.56,16.12,-8.57,-34.71,4.07,-20.61,-83.51,9.02,-15.66,-63.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-55,4.18,6.16,1.98,47.44,5.73,1.55,37.18,7.76,3.59,85.90,1.18,-3.00,-71.79,3.32,-0.86,-20.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-63,18.74,3.59,-15.15,-80.86,0.00,-18.74,-100.00,0.00,-18.74,-100.00,0.80,-17.94,-95.71,2.36,-16.38,-87.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.94,-9.80,-52.29,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-64,21.58,13.65,-7.92,-36.72,3.80,-17.78,-82.38,***,***,***,***,***,***,10.01,-11.57,-53.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,13.73,8.38,5.34,38.93,4.16,9.57,69.69,6.91,6.82,49.68,2.89,10.84,78.94,5.51,8.21,59.82,8.51,5.21,37.98,2.30,11.42,83.23,2.46,11.26,82.06,2.20,11.53,84.01,0.11,13.62,99.22,11.22,2.51,18.28,17.24,-3.51,-25.60,14.30,-0.57,-4.14,11.19,2.54,18.48,3.53,10.19,74.26
