ProjectUnit = Pinyon Juniper
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
JUOS-50,0.33,0.00,-0.33,-100.00,0.00,-0.33,-100.00,1.94,1.61,493.00,2.58,2.26,690.96,4.21,3.88,1188.89,6.16,5.83,1785.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-51,1.61,1.61,0.00,0.00,1.94,0.32,19.95,0.65,-0.97,-59.98,0.97,-0.65,-40.14,***,***,***,***,***,***,0.64,-0.97,-60.09,0.32,-1.29,-79.93,1.29,-0.33,-20.19,1.29,-0.33,-20.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,***,0.00,0.00,0.00,0.32,0.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-53,1.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.99,-0.32,-24.39,0.00,-1.31,-100.00,1.64,0.34,25.73,0.65,-0.65,-50.12,0.66,-0.65,-49.59
JUOS-54,0.32,0.00,-0.32,-100.00,0.65,0.32,100.00,0.00,-0.32,-100.00,0.65,0.32,100.00,0.32,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-63,0.65,0.00,-0.65,-100.00,0.00,-0.65,-100.00,0.00,-0.65,-100.00,0.32,-0.33,-50.10,0.65,0.00,0.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.32,-0.33,-50.34,***,***,***,***,***,***,***,***,***,***,***,***
JUOS-64,2.01,1.66,-0.35,-17.39,2.35,0.34,16.70,***,***,***,***,***,***,1.68,-0.34,-16.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.78,0.47,0.31,39.89,0.70,0.07,9.56,0.48,0.29,37.84,0.75,0.03,3.31,1.20,-0.42,-53.73,6.16,-5.38,-690.41,0.64,0.13,17.31,0.32,0.45,58.41,1.29,-0.51,-65.39,1.29,-0.51,-65.39,0.65,0.12,15.95,0.00,0.78,100.00,1.64,-0.86,-110.70,0.65,0.13,16.41,0.66,0.12,15.52
