ProjectUnit = Gambel Oak
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff
QUGA-11,3.96,2.36,-1.60,-40.39,2.45,-1.51,-38.10,1.87,-2.10,-52.91,4.26,0.29,7.41,***,***,***,2.10,-1.86,-46.91,2.22,-1.74,-43.92,2.99,-0.97,-24.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-15,4.13,1.10,-3.03,-73.43,1.10,-3.03,-73.43,0.94,-3.19,-77.16,3.02,-1.11,-26.90,2.25,-1.88,-45.52,7.48,3.35,81.05,***,***,***,***,***,***,1.45,-2.68,-64.97,1.17,-2.96,-71.74,1.06,-3.07,-74.32,2.20,-1.93,-46.70,6.79,2.66,64.47,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-16,1.61,0.00,-1.61,-100.00,0.02,-1.59,-98.70,0.64,-0.98,-60.61,1.44,-0.17,-10.82,1.35,-0.27,-16.45,2.03,0.41,25.54,***,***,***,***,***,***,0.70,-0.92,-56.71,0.41,-1.21,-74.89,0.40,-1.21,-75.19,***,***,***,2.77,1.15,71.43,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-18,5.63,1.08,-4.55,-80.77,1.08,-4.55,-80.77,3.36,-2.27,-40.32,5.77,0.14,2.48,2.60,-3.03,-53.85,2.87,-2.76,-49.01,***,***,***,***,***,***,0.53,-5.10,-90.57,1.38,-4.26,-75.56,1.77,-3.86,-68.61,***,***,***,5.42,-0.21,-3.72,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-19,4.90,0.65,-4.25,-86.73,0.65,-4.25,-86.73,1.31,-3.58,-73.18,3.22,-1.68,-34.24,1.84,-3.05,-62.34,2.84,-2.05,-41.94,***,***,***,***,***,***,1.43,-3.47,-70.90,1.10,-3.80,-77.60,1.06,-3.84,-78.46,***,***,***,7.34,2.45,49.93,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-20,4.18,1.02,-3.16,-75.59,0.82,-3.36,-80.43,2.42,-1.75,-41.97,2.00,-2.18,-52.17,***,***,***,1.61,-2.56,-61.37,1.85,-2.33,-55.69,4.35,0.17,4.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-21,3.98,0.86,-3.12,-78.38,0.89,-3.08,-77.50,1.96,-2.02,-50.79,2.08,-1.90,-47.80,***,***,***,***,***,***,***,***,***,***,***,***,0.41,-3.57,-89.81,0.96,-3.02,-75.92,0.80,-3.17,-79.79,1.53,-2.45,-61.60,3.53,-0.45,-11.25,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-22,4.24,1.34,-2.90,-68.37,2.63,-1.61,-37.89,2.24,-2.01,-47.28,2.71,-1.53,-36.08,***,***,***,1.58,-2.66,-62.77,2.86,-1.38,-32.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-23,3.03,0.49,-2.54,-83.87,1.36,-1.68,-55.30,2.50,-0.53,-17.51,1.61,-1.42,-46.77,***,***,***,0.82,-2.22,-73.04,2.94,-0.09,-3.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-25,1.75,0.39,-1.36,-77.60,0.93,-0.82,-46.80,0.71,-1.04,-59.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.50,-0.24,-14.00,1.24,-0.50,-28.80,1.03,-0.72,-41.20,2.67,0.92,52.80,***,***,***,1.88,0.13,7.56,0.74,-1.01,-57.80,0.96,-0.78,-44.80,3.60,1.85,106.00
QUGA-61,3.44,0.15,-3.30,-95.74,0.22,-3.22,-93.51,0.41,-3.04,-88.24,0.55,-2.89,-83.98,***,***,***,1.33,-2.11,-61.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,3.71,0.86,2.86,76.89,1.11,2.61,70.24,1.67,2.05,55.09,2.67,1.05,28.23,2.01,1.70,45.87,2.52,1.20,32.19,2.47,1.24,33.50,3.67,0.04,1.18,1.00,2.71,73.03,1.04,2.67,71.97,1.02,2.70,72.56,2.13,1.58,42.59,5.17,-1.46,-39.22,1.88,1.84,49.41,0.74,2.98,80.15,0.96,2.75,74.04,3.60,0.12,3.11
