ProjectUnit = Gambel Oak
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff
QUGA-11,1.42,0.85,-0.57,-40.39,0.88,-0.54,-38.10,0.67,-0.75,-52.91,1.52,0.11,7.41,***,***,***,0.75,-0.67,-46.91,0.80,-0.62,-43.92,1.07,-0.35,-24.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-15,1.48,0.39,-1.09,-73.43,0.39,-1.09,-73.43,0.34,-1.14,-77.16,1.08,-0.40,-26.90,0.81,-0.67,-45.52,2.68,1.20,81.05,***,***,***,***,***,***,0.52,-0.96,-64.97,0.42,-1.06,-71.74,0.38,-1.10,-74.32,0.79,-0.69,-46.70,2.43,0.95,64.47,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-16,0.58,0.00,-0.58,-100.00,0.01,-0.57,-98.70,0.23,-0.35,-60.61,0.52,-0.06,-10.82,0.48,-0.10,-16.45,0.73,0.15,25.54,***,***,***,***,***,***,0.25,-0.33,-56.71,0.15,-0.43,-74.89,0.14,-0.43,-75.19,***,***,***,0.99,0.41,71.43,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-18,2.02,0.39,-1.63,-80.77,0.39,-1.63,-80.77,1.20,-0.81,-40.32,2.07,0.05,2.48,0.93,-1.09,-53.85,1.03,-0.99,-49.01,***,***,***,***,***,***,0.19,-1.83,-90.57,0.49,-1.52,-75.56,0.63,-1.38,-68.61,***,***,***,1.94,-0.08,-3.72,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-19,1.75,0.23,-1.52,-86.73,0.23,-1.52,-86.73,0.47,-1.28,-73.18,1.15,-0.60,-34.24,0.66,-1.09,-62.34,1.02,-0.74,-41.94,***,***,***,***,***,***,0.51,-1.24,-70.90,0.39,-1.36,-77.60,0.38,-1.38,-78.46,***,***,***,2.63,0.88,49.93,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-20,1.50,0.37,-1.13,-75.59,0.29,-1.20,-80.43,0.87,-0.63,-41.97,0.72,-0.78,-52.17,***,***,***,0.58,-0.92,-61.37,0.66,-0.83,-55.69,1.56,0.06,4.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-21,1.42,0.31,-1.12,-78.38,0.32,-1.10,-77.50,0.70,-0.72,-50.79,0.74,-0.68,-47.80,***,***,***,***,***,***,***,***,***,***,***,***,0.15,-1.28,-89.81,0.34,-1.08,-75.92,0.29,-1.14,-79.79,0.55,-0.88,-61.60,1.26,-0.16,-11.25,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-22,1.52,0.48,-1.04,-68.37,0.94,-0.58,-37.89,0.80,-0.72,-47.28,0.97,-0.55,-36.08,***,***,***,0.57,-0.95,-62.77,1.03,-0.49,-32.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-23,1.09,0.18,-0.91,-83.87,0.49,-0.60,-55.30,0.90,-0.19,-17.51,0.58,-0.51,-46.77,***,***,***,0.29,-0.79,-73.04,1.05,-0.03,-3.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-25,0.63,0.14,-0.49,-77.60,0.33,-0.29,-46.80,0.25,-0.37,-59.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.54,-0.09,-14.00,0.45,-0.18,-28.80,0.37,-0.26,-41.20,0.96,0.33,52.80,***,***,***,0.67,0.05,7.56,0.26,-0.36,-57.80,0.35,-0.28,-44.80,1.29,0.66,106.00
QUGA-61,1.23,0.05,-1.18,-95.74,0.08,-1.15,-93.51,0.15,-1.09,-88.24,0.20,-1.04,-83.98,***,***,***,0.48,-0.76,-61.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.33,0.31,1.02,76.89,0.40,0.93,70.24,0.60,0.73,55.09,0.95,0.38,28.23,0.72,0.61,45.87,0.90,0.43,32.19,0.88,0.45,33.50,1.31,0.02,1.18,0.36,0.97,73.03,0.37,0.96,71.97,0.36,0.96,72.56,0.76,0.57,42.59,1.85,-0.52,-39.22,0.67,0.66,49.41,0.26,1.07,80.15,0.35,0.98,74.04,1.29,0.04,3.11
