ProjectUnit = Gambel Oak
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff
QUGA-11,0.20,0.20,0.00,0.00,1.39,1.19,600.08,0.60,0.40,200.06,1.29,1.09,549.98,***,***,***,1.39,1.19,600.02,1.69,1.49,750.16,0.50,0.30,150.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-15,1.30,2.40,1.10,84.27,2.40,1.10,84.27,1.00,-0.30,-23.18,0.30,-1.00,-76.93,1.79,0.49,37.90,1.00,-0.30,-23.30,***,***,***,***,***,***,1.79,0.49,38.08,1.10,-0.20,-15.43,1.40,0.10,7.61,2.79,1.49,114.79,1.00,-0.30,-23.29,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-16,3.77,0.31,-3.45,-91.72,0.31,-3.46,-91.85,0.42,-3.35,-88.89,0.10,-3.67,-97.34,0.21,-3.56,-94.51,0.51,-3.25,-86.35,***,***,***,***,***,***,1.48,-2.28,-60.66,0.52,-3.25,-86.22,1.79,-1.97,-52.34,***,***,***,1.75,-2.02,-53.58,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-18,4.07,2.17,-1.89,-46.56,2.17,-1.89,-46.56,0.98,-3.09,-75.97,0.96,-3.10,-76.35,0.43,-3.64,-89.49,0.65,-3.42,-83.99,***,***,***,***,***,***,0.85,-3.22,-79.06,0.76,-3.31,-81.31,1.08,-2.99,-73.45,***,***,***,4.69,0.62,15.30,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-19,2.94,0.63,-2.31,-78.51,0.63,-2.31,-78.51,0.93,-2.01,-68.33,0.21,-2.73,-92.72,0.41,-2.53,-85.96,0.95,-2.00,-67.80,***,***,***,***,***,***,1.98,-0.96,-32.64,0.53,-2.41,-82.01,0.94,-2.01,-68.22,***,***,***,1.27,-1.67,-56.88,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-20,1.09,0.60,-0.50,-45.45,0.90,-0.20,-18.18,0.50,-0.60,-54.55,0.70,-0.40,-36.36,***,***,***,1.09,0.00,0.00,0.80,-0.30,-27.27,1.19,0.10,9.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-21,0.50,0.40,-0.10,-20.00,0.40,-0.10,-20.00,0.60,0.10,20.00,1.59,1.09,219.99,***,***,***,***,***,***,***,***,***,***,***,***,1.29,0.80,160.00,1.79,1.29,260.01,1.39,0.90,180.01,0.90,0.40,80.01,1.09,0.60,120.01,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-22,1.40,0.60,-0.80,-57.06,0.40,-1.00,-71.21,0.00,-1.40,-100.00,0.40,-1.00,-71.34,***,***,***,0.60,-0.80,-57.19,1.20,-0.20,-14.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-23,2.10,1.20,-0.90,-42.97,0.60,-1.50,-71.46,0.50,-1.60,-76.24,1.10,-1.00,-47.69,***,***,***,0.70,-1.40,-66.72,0.70,-1.40,-66.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-25,0.60,0.40,-0.20,-33.27,0.60,0.00,0.14,0.60,0.00,0.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.80,0.20,33.41,0.70,0.10,16.92,0.90,0.30,50.17,0.80,0.20,33.49,***,***,***,0.60,0.00,0.01,0.20,-0.40,-66.63,0.70,0.10,16.88,1.19,0.60,99.91
QUGA-61,1.79,0.10,-1.69,-94.45,0.50,-1.29,-72.17,0.60,-1.19,-66.67,0.50,-1.29,-72.23,***,***,***,1.29,-0.50,-27.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.80,0.82,0.98,54.43,0.94,0.86,47.89,0.61,1.19,66.02,0.72,1.08,60.16,0.71,1.09,60.46,0.91,0.89,49.34,1.10,0.70,38.92,0.85,0.95,52.90,1.37,0.43,23.88,0.90,0.90,49.90,1.25,0.55,30.40,1.49,0.30,16.76,1.96,-0.16,-9.13,0.60,1.20,66.74,0.20,1.60,88.90,0.70,1.10,61.13,1.19,0.60,33.51
