ProjectUnit = Gambel Oak
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff
QUGA-11,0.11,0.13,0.02,16.67,0.28,0.17,155.58,0.12,0.01,11.11,0.29,0.18,166.68,***,***,***,0.23,0.13,116.64,0.45,0.34,316.73,0.10,-0.01,-5.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-15,0.47,0.57,0.10,21.81,0.57,0.10,21.81,0.11,-0.36,-76.92,0.05,-0.42,-88.44,0.11,-0.35,-75.60,0.18,-0.29,-61.53,***,***,***,***,***,***,0.18,-0.29,-61.48,0.22,-0.25,-52.52,0.24,-0.23,-48.66,0.39,-0.08,-17.93,0.35,-0.11,-24.38,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-16,0.83,0.24,-0.59,-71.25,0.15,-0.68,-81.43,0.10,-0.73,-88.25,0.11,-0.72,-87.03,0.03,-0.81,-96.92,0.17,-0.66,-79.30,***,***,***,***,***,***,0.11,-0.72,-86.49,0.23,-0.60,-71.84,0.44,-0.39,-47.13,***,***,***,0.08,-0.75,-90.31,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-18,0.65,0.51,-0.14,-21.07,0.51,-0.14,-21.07,0.14,-0.51,-78.08,0.11,-0.54,-83.08,0.08,-0.57,-87.91,0.16,-0.49,-75.15,***,***,***,***,***,***,0.18,-0.47,-72.94,0.24,-0.42,-63.78,0.22,-0.43,-65.93,***,***,***,0.45,-0.20,-30.35,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-19,0.35,0.35,0.00,1.05,0.35,0.00,1.05,0.19,-0.16,-45.86,0.06,-0.29,-83.62,0.17,-0.17,-49.45,0.22,-0.13,-36.37,***,***,***,***,***,***,0.16,-0.18,-52.40,0.46,0.12,34.60,0.23,-0.12,-34.34,***,***,***,0.26,-0.09,-25.66,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-20,0.26,0.19,-0.07,-25.58,0.13,-0.13,-48.84,0.14,-0.12,-46.51,0.17,-0.08,-32.56,***,***,***,0.22,-0.04,-16.28,0.38,0.13,48.84,0.19,-0.07,-25.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-21,0.04,0.05,0.02,50.01,0.01,-0.02,-66.67,0.05,0.02,50.01,0.19,0.16,433.34,***,***,***,***,***,***,***,***,***,***,***,***,0.22,0.18,500.00,0.16,0.12,333.34,0.35,0.32,883.34,0.04,0.01,16.67,0.09,0.05,150.00,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-22,0.10,0.17,0.07,74.94,0.09,-0.01,-12.64,0.08,-0.01,-13.07,0.08,-0.01,-12.84,***,***,***,0.09,-0.01,-12.58,0.27,0.18,180.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-23,0.30,0.14,-0.16,-54.01,0.11,-0.19,-64.04,0.07,-0.23,-76.01,0.08,-0.22,-74.00,***,***,***,0.18,-0.12,-39.93,0.11,-0.19,-63.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-25,0.51,0.35,-0.15,-29.76,0.42,-0.08,-16.66,0.36,-0.14,-28.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.16,-0.35,-69.07,0.54,0.03,5.95,0.27,-0.23,-46.48,0.33,-0.17,-34.60,***,***,***,0.34,-0.16,-32.25,0.15,-0.35,-70.27,0.61,0.11,21.30,0.38,-0.12,-23.91
QUGA-61,0.40,0.06,-0.34,-85.08,0.24,-0.16,-40.28,0.07,-0.33,-82.09,0.28,-0.13,-31.38,***,***,***,0.05,-0.35,-88.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.36,0.25,0.11,30.86,0.26,0.10,28.50,0.13,0.23,64.11,0.14,0.22,60.93,0.10,0.27,73.00,0.17,0.20,54.27,0.30,0.06,16.49,0.15,0.22,59.61,0.17,0.20,53.96,0.31,0.06,15.38,0.29,0.07,19.74,0.25,0.11,30.66,0.25,0.12,32.14,0.34,0.02,6.02,0.15,0.21,58.76,0.61,-0.25,-68.26,0.38,-0.02,-5.54
