ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year13-Attr,01Year13-Diff,01Year13-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year18-Attr,01Year18-Diff,01Year18-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff
ABCO-52,1.27,0.95,-0.32,-25.01,1.90,0.63,50.01,0.63,-0.63,-50.00,0.32,-0.95,-74.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-1.27,-100.00,0.32,-0.95,-75.01,0.32,-0.95,-74.99,2.22,0.95,74.91,2.22,0.95,74.95,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-53,2.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.27,-0.95,-42.98,2.54,0.32,14.21,3.49,1.27,57.03,2.86,0.64,28.66
ABCO-54,0.95,0.63,-0.32,-33.34,1.27,0.32,33.33,0.00,-0.95,-100.00,0.00,-0.95,-100.00,0.63,-0.32,-33.34,***,***,***,***,***,***,5.38,4.43,466.63,***,***,***,3.48,2.53,266.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-55,1.27,0.00,-1.27,-100.00,0.00,-1.27,-100.00,0.00,-1.27,-100.00,0.63,-0.63,-50.00,0.95,-0.32,-25.00,***,***,***,***,***,***,1.90,0.63,49.99,***,***,***,0.63,-0.63,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-56,0.64,0.66,0.01,2.24,0.99,0.34,53.36,0.32,-0.32,-50.28,0.00,-0.64,-100.00,0.00,-0.64,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.32,-0.32,-50.28,0.33,-0.32,-48.88,0.00,-0.64,-100.00,0.00,-0.64,-100.00,0.00,-0.64,-100.00,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-57,0.98,0.65,-0.33,-33.31,0.98,0.00,0.00,0.96,-0.02,-1.71,0.96,-0.02,-1.63,1.27,0.29,29.97,0.64,-0.34,-35.02,0.32,-0.66,-67.51,0.64,-0.34,-35.02,1.27,0.29,29.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-58,3.88,1.60,-2.28,-58.77,1.92,-1.96,-50.53,1.92,-1.96,-50.53,0.32,-3.56,-91.75,2.25,-1.62,-41.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.62,-2.26,-58.18,0.98,-2.90,-74.74,1.28,-2.60,-67.04,1.95,-1.93,-49.67,0.66,-3.22,-83.05,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-59,0.00,0.32,0.32,***,0.00,0.00,0.00,0.32,0.32,***,0.32,0.32,***,0.63,0.63,***,0.95,0.95,***,1.58,1.58,***,3.80,3.80,***,4.75,4.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-60,0.32,0.00,-0.32,-100.00,0.00,-0.32,-100.00,0.00,-0.32,-100.00,0.00,-0.32,-100.00,0.00,-0.32,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.32,0.00,0.00,0.32,0.00,0.16,0.00,-0.32,-100.00,4.13,3.82,1202.64,5.10,4.78,1505.96,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-61,0.32,0.63,0.32,100.38,0.63,0.32,100.38,0.95,0.63,200.38,0.95,0.64,200.77,0.95,0.64,200.77,1.59,1.27,400.77,0.95,0.63,200.38,0.95,0.63,200.38,1.27,0.95,300.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
