ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year13-Attr,01Year13-Diff,01Year13-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year18-Attr,01Year18-Diff,01Year18-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff
ABCO-52,0.76,0.21,-0.55,-72.03,0.33,-0.44,-57.14,0.41,-0.35,-46.42,0.31,-0.45,-58.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.41,-0.35,-46.42,0.39,-0.38,-49.41,0.34,-0.42,-55.35,1.25,0.49,64.25,0.39,-0.37,-48.82,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-53,0.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.28,-0.56,-66.84,0.42,-0.41,-49.48,0.68,-0.16,-18.51,0.94,0.10,11.93
ABCO-54,0.08,0.13,0.05,55.55,0.18,0.10,116.66,0.16,0.08,100.00,0.14,0.05,66.67,0.16,0.08,100.01,***,***,***,***,***,***,0.65,0.57,694.40,***,***,***,0.29,0.20,249.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-55,0.24,0.08,-0.16,-67.93,0.10,-0.14,-56.61,0.54,0.29,122.65,0.69,0.45,188.68,0.55,0.31,128.29,***,***,***,***,***,***,0.55,0.31,130.19,***,***,***,0.15,-0.09,-35.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-56,0.18,0.08,-0.10,-54.48,0.11,-0.08,-41.83,0.08,-0.11,-57.52,0.10,-0.08,-44.84,0.07,-0.11,-60.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.11,-0.08,-42.33,0.11,-0.08,-42.32,0.08,-0.11,-57.54,0.41,0.22,121.79,0.10,-0.09,-47.73,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-57,0.16,0.09,-0.07,-46.03,0.11,-0.05,-29.15,0.17,0.00,2.43,0.52,0.36,223.82,0.15,-0.01,-9.11,0.20,0.04,22.33,0.11,-0.06,-34.82,0.16,0.00,-0.54,0.34,0.18,109.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-58,0.34,0.02,-0.32,-94.55,0.02,-0.32,-93.21,0.04,-0.30,-89.02,0.07,-0.27,-79.35,0.20,-0.14,-40.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.04,-0.30,-87.84,0.03,-0.31,-90.57,0.03,-0.31,-91.77,0.06,-0.28,-82.45,0.03,-0.31,-91.91,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-59,0.26,0.18,-0.09,-32.76,0.22,-0.04,-15.52,0.17,-0.09,-34.48,0.25,-0.02,-6.90,0.50,0.24,89.65,0.34,0.07,27.58,0.37,0.10,39.66,0.27,0.01,3.45,0.39,0.13,50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-60,0.17,0.05,-0.12,-70.26,0.06,-0.11,-62.15,0.08,-0.09,-54.04,0.04,-0.13,-75.74,0.75,0.58,341.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.52,0.35,205.56,0.40,0.23,135.17,0.24,0.07,43.37,0.34,0.17,102.57,0.15,-0.02,-13.68,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-61,0.35,0.19,-0.15,-44.32,0.23,-0.12,-33.68,0.38,0.03,9.95,0.50,0.15,43.70,0.28,-0.06,-18.12,0.37,0.02,5.68,0.30,-0.04,-12.94,0.27,-0.08,-23.26,0.78,0.43,125.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
