ProjectUnit = NULLNULL
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff
FMCMM1T0907,0.91,***,***,***,0.00,-0.91,-100.00,0.61,-0.30,-33.33,0.30,-0.61,-66.67,0.00,-0.91,-100.00,***,***,***,***,***,***,***,***,***
FMCMM1T0908,0.61,***,***,***,2.44,1.84,303.28,2.13,1.53,252.19,1.83,1.22,202.19,2.12,1.52,251.12,***,***,***,***,***,***,***,***,***
FMCMM1T0910,0.92,***,***,***,1.22,0.31,33.28,0.61,-0.31,-33.59,0.31,-0.61,-66.72,0.92,0.00,0.16,***,***,***,***,***,***,***,***,***
FPIPO1T0912,0.91,7.91,7.00,768.74,6.41,5.50,603.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0901,***,***,***,***,0.00,***,***,***,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0902,***,***,***,***,2.14,***,***,0.92,***,***,0.61,***,***,***,***,***,0.31,***,***,1.22,***,***,1.22,***,***
FMCMM1T0903,***,***,***,***,3.03,***,***,***,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0904,***,***,***,***,1.54,***,***,***,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0905,***,***,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0906,***,***,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0909,***,***,***,***,1.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.84,7.91,-7.07,-846.96,1.83,-0.99,-118.83,1.07,-0.23,-27.54,0.91,-0.08,-9.43,1.01,-0.18,-21.48,0.31,0.53,63.48,1.22,-0.39,-46.09,1.22,-0.39,-46.09
