ProjectUnit = NULLNULL
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff
FMCMM1T0907,0.91,***,***,***,0.84,-0.08,-8.33,0.46,-0.46,-50.00,0.23,-0.68,-75.00,0.53,-0.38,-41.67,***,***,***,***,***,***,***,***,***
FMCMM1T0908,0.84,***,***,***,2.06,1.23,146.62,0.92,0.08,9.48,1.07,0.23,28.06,0.91,0.08,9.09,***,***,***,***,***,***,***,***,***
FMCMM1T0910,1.38,***,***,***,1.84,0.46,33.29,0.23,-1.15,-83.25,0.62,-0.76,-55.34,1.00,-0.38,-27.76,***,***,***,***,***,***,***,***,***
FPIPO1T0912,0.76,2.06,1.30,170.57,1.76,1.00,131.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0901,***,***,***,***,2.44,***,***,***,***,***,1.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0902,***,***,***,***,0.92,***,***,0.69,***,***,1.30,***,***,***,***,***,1.07,***,***,0.54,***,***,1.53,***,***
FMCMM1T0903,***,***,***,***,1.45,***,***,***,***,***,2.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0904,***,***,***,***,1.85,***,***,***,***,***,1.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0905,***,***,***,***,1.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0906,***,***,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0909,***,***,***,***,1.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.97,2.06,-1.09,-111.98,1.54,-0.57,-58.48,0.57,0.40,41.11,1.30,-0.33,-33.76,0.81,0.16,16.33,1.07,-0.10,-10.14,0.54,0.44,45.02,1.53,-0.56,-57.41
